"location_name","location_id","all_bed_capacity","icu_bed_capacity","all_bed_usage","icu_bed_usage","available_all_nbr","available_icu_nbr","travel_limit_start_date","travel_limit_end_date","stay_home_start_date","stay_home_end_date","educational_fac_start_date","educational_fac_end_date","any_gathering_restrict_start_date","any_gathering_restrict_end_date","any_business_start_date","any_business_end_date","all_non-ess_business_start_date","all_non-ess_business_end_date"
"Hebei",500,197631,2861,131952,2099,65679,762,2020-02-07,2020-03-24,2020-02-07,2020-03-24,2020-02-07,2020-03-24,2020-02-07,2020-03-24,2020-02-07,2020-03-24,2020-02-07,2020-03-24
"Heilongjiang",501,117836,1592,78059,1160,39777,432,2020-02-06,2020-03-09,2020-02-06,2020-03-09,2020-02-06,2020-03-09,2020-02-06,2020-03-09,2020-02-06,2020-03-09,2020-02-06,2020-03-09
"Hesse",60383,,,,,,,,,2020-03-22,2020-05-09,2020-03-16,2020-10-21,2020-03-22,,2020-03-15,,2020-12-16,
"Hidalgo",4655,2273,106,1351,80,922,26,,,2020-06-22,,2020-03-22,,2020-03-24,,2020-03-29,,2020-03-30,2020-06-22
"Himachal Pradesh",4853,,,,,,,2020-03-23,2020-04-20,2020-03-23,2020-06-01,2020-03-14,,2020-03-23,,2020-03-23,,2020-03-23,2020-04-20
"Honduras",129,7783,85,6811,76,972,9,2020-03-16,,2020-03-19,,2020-03-13,,2020-03-14,,2020-03-16,,2020-03-16,
"Hong Kong Special Administrative Region of China",354,39530,297,25314,210,14216,87,,,,,,,,,,,,
"Hubei",503,150521,2133,99606,1553,50915,580,2020-02-10,2020-03-14,2020-02-10,2020-03-14,2020-02-10,2020-03-14,2020-02-10,2020-03-14,2020-02-10,2020-03-14,2020-02-10,2020-03-14
"Hungary",48,66853,1262,47151,737,19702,525,,,2020-03-28,2020-05-18,2020-03-16,2020-09-01,2020-03-12,,2020-03-12,,2020-03-16,2020-05-18
"Iceland",83,1199,25,960,18,239,7,,,,,2020-03-16,2020-05-04,2020-03-16,,2020-03-24,2020-05-25,,
"Idaho",535,3951,338,2133,187,1818,151,,,2020-03-25,2020-05-01,2020-03-23,,2020-03-25,2020-05-01,2020-03-25,2020-06-13,2020-03-25,2020-05-01
"Illinois",536,36072,2910,21520,1779,14552,1131,,,2020-03-21,2020-05-29,2020-03-17,,2020-03-13,,2020-03-16,,2020-03-21,2020-05-01
"India",163,,,,,,,2020-03-25,,2020-03-25,2020-06-09,2020-03-25,,2020-03-25,,2020-03-16,,2020-03-25,2020-05-21
"Indiana",537,20450,1763,11965,1057,8485,706,,,2020-03-25,2020-05-18,2020-03-19,,2020-03-12,,2020-03-16,2020-09-26,2020-03-24,2020-05-18
"Indonesia",11,224864,7085,128396,4443,96468,2642,,,,,2020-03-16,,2020-03-16,,,,,
"Iowa",538,9866,584,5569,337,4297,247,,,,,2020-04-04,,2020-03-17,2020-06-12,2020-03-17,2020-10-16,2020-03-17,2020-05-08
"Iran (Islamic Republic of)",142,123318,7286,78159,4498,45159,2788,2020-03-19,2020-04-09,,,2020-02-24,2020-05-16,2020-02-24,2020-05-26,2020-03-04,,2020-04-04,2020-04-11
"Iraq",143,49500,2643,31923,1665,17577,978,,,2020-03-17,2020-04-21,2020-02-27,,2020-02-25,,2020-02-27,,,
"Ireland",84,16251,291,14678,238,1573,53,,,2020-03-27,2020-05-18,2020-03-12,2020-08-31,2020-03-12,,2020-03-15,,2020-03-24,2020-05-18
"Islamabad Capital Territory",53618,2567,52,2022,40,545,12,,,2020-03-21,2020-05-09,2020-03-13,2020-09-30,2020-03-21,,2020-03-21,,2020-03-21,2020-04-15
"Israel",85,39265,429,36491,347,2774,82,,,2020-03-25,2020-04-19,2020-03-12,2020-06-01,2020-03-04,,2020-03-15,,2020-03-25,2020-05-03
"Italy",86,212112,6438,164478,3674,47634,2764,,,,,,,,,,,,
