"target","location","model","inverse_wis_weight"
"inc death","GM10","epiforecasts-EpiNow2",0.0905913913401563
"inc death","GM10","KIT-time_series_baseline",0.143246732884231
"inc death","GM10","Karlen-pypm",0.142719867196451
"inc death","GM11","USC-SIkJalpha",0.255302100050614
"inc death","GM11","ITWW-county_repro",0.114208548991531
"inc death","GM11","epiforecasts-EpiNow2",0.23831930352785
"inc death","GM11","KIT-time_series_baseline",0.110523376788585
"inc death","GM11","Karlen-pypm",0.281646670641421
"inc death","GM12","USC-SIkJalpha",0.292593047220558
"inc death","GM12","ITWW-county_repro",0.183136023694855
"inc death","GM12","epiforecasts-EpiNow2",0.192444282913781
"inc death","GM12","KIT-time_series_baseline",0.160328776875008
"inc death","GM12","Karlen-pypm",0.171497869295798
"inc death","GM13","USC-SIkJalpha",0.283631559453694
"inc death","GM13","ITWW-county_repro",0.281377350210854
"inc death","GM13","epiforecasts-EpiNow2",0.105476459169269
"inc death","GM13","KIT-time_series_baseline",0.12198145122751
"inc death","GM13","Karlen-pypm",0.207533179938674
"inc death","GM14","USC-SIkJalpha",0.169426391306413
"inc death","GM14","ITWW-county_repro",0.177107410212292
"inc death","GM14","epiforecasts-EpiNow2",0.129365996632331
"inc death","GM14","KIT-time_series_baseline",0.13072758064962
"inc death","GM14","Karlen-pypm",0.393372621199343
"inc death","GM15","USC-SIkJalpha",0.401165409165001
"inc death","GM15","ITWW-county_repro",0.288776066559976
"inc death","GM15","epiforecasts-EpiNow2",0.0594589358523299
"inc death","GM15","KIT-time_series_baseline",0.0617042850267576
"inc death","GM15","Karlen-pypm",0.188895303395936
"inc death","GM16","USC-SIkJalpha",0.226488104495605
"inc death","GM16","ITWW-county_repro",0.201374811326355
"inc death","GM16","epiforecasts-EpiNow2",0.133509148127609
"inc death","GM16","KIT-time_series_baseline",0.0484057057709166
"inc death","GM16","Karlen-pypm",0.390222230279514
"inc death","GM","FIAS_FZJ-Epi1Ger",0.222114169635211
"inc death","GM","LANL-GrowthRate",0.136716043802493
"inc death","GM","MIT_CovidAnalytics-DELPHI",0.0922180522554347
"inc death","GM","USC-SIkJalpha",0.171153772038116
"inc death","GM","epiforecasts-EpiExpert",0.110415828377528
"inc death","GM","epiforecasts-EpiNow2",0.055452164980145
"inc death","GM","Karlen-pypm",0.131681436428616
"inc death","GM","itwm-dSEIR",0.080248532482456
"cum death","GM01","USC-SIkJalpha",0.308959861576865
"cum death","GM01","ITWW-county_repro",0.188246297701038
"cum death","GM01","epiforecasts-EpiNow2",0.129560883513472
"cum death","GM01","KIT-time_series_baseline",0.144907691417712
"cum death","GM01","Karlen-pypm",0.228325265790914
"cum death","GM02","USC-SIkJalpha",0.278418520295878
"cum death","GM02","ITWW-county_repro",0.181161870051672
"cum death","GM02","epiforecasts-EpiNow2",0.155207509855517
"cum death","GM02","KIT-time_series_baseline",0.0802310349481918
"cum death","GM02","Karlen-pypm",0.304981064848741
"cum death","GM03","USC-SIkJalpha",0.161350117874885
"cum death","GM03","ITWW-county_repro",0.411041337929603
"cum death","GM03","epiforecasts-EpiNow2",0.145787821325475
"cum death","GM03","KIT-time_series_baseline",0.109053614629074
"cum death","GM03","Karlen-pypm",0.172767108240963
"cum death","GM04","USC-SIkJalpha",0.131125584444318
"cum death","GM04","ITWW-county_repro",0.398962911466705
"cum death","GM04","epiforecasts-EpiNow2",0.0659911471786866
"cum death","GM04","KIT-time_series_baseline",0.0654193987807287
"cum death","GM04","Karlen-pypm",0.338500958129561
"cum death","GM05","USC-SIkJalpha",0.381681201760536
"cum death","GM05","ITWW-county_repro",0.168497282073895
"cum death","GM05","epiforecasts-EpiNow2",0.165390283254868
"cum death","GM05","KIT-time_series_baseline",0.0957177068366723
"cum death","GM05","Karlen-pypm",0.188713526074029
"cum death","GM06","USC-SIkJalpha",0.160476902747803
"cum death","GM06","ITWW-county_repro",0.332370903840855
"cum death","GM06","epiforecasts-EpiNow2",0.204804842434132
"cum death","GM06","KIT-time_series_baseline",0.140694809767932
"cum death","GM06","Karlen-pypm",0.161652541209279
"cum death","GM07","USC-SIkJalpha",0.280160173983972
"cum death","GM07","ITWW-county_repro",0.276154481897757
"cum death","GM07","epiforecasts-EpiNow2",0.100330980709489
"cum death","GM07","KIT-time_series_baseline",0.0918797460147832
"cum death","GM07","Karlen-pypm",0.251474617393999
"cum death","GM08","USC-SIkJalpha",0.200256459137336
"cum death","GM08","ITWW-county_repro",0.268989864799761
"cum death","GM08","epiforecasts-EpiNow2",0.0948269845907437
"cum death","GM08","KIT-time_series_baseline",0.182893953812096
"cum death","GM08","Karlen-pypm",0.253032737660064
"cum death","GM09","USC-SIkJalpha",0.187840956177769
"cum death","GM09","ITWW-county_repro",0.383495938336962
"cum death","GM09","epiforecasts-EpiNow2",0.106322993385558
"cum death","GM09","KIT-time_series_baseline",0.06347383257015
"cum death","GM09","Karlen-pypm",0.258866279529562
"cum death","GM10","USC-SIkJalpha",0.170703721824434
"cum death","GM10","ITWW-county_repro",0.518041973472769
"cum death","GM10","epiforecasts-EpiNow2",0.0721789256780002
"cum death","GM10","KIT-time_series_baseline",0.118848336303248
"cum death","GM10","Karlen-pypm",0.120227042721549
"cum death","GM11","USC-SIkJalpha",0.229520282308024
"cum death","GM11","ITWW-county_repro",0.109039643445055
"cum death","GM11","epiforecasts-EpiNow2",0.269307141198261
"cum death","GM11","KIT-time_series_baseline",0.108974169165554
"cum death","GM11","Karlen-pypm",0.283158763883105
"cum death","GM12","USC-SIkJalpha",0.365586488868177
"cum death","GM12","ITWW-county_repro",0.152998445333998
"cum death","GM12","epiforecasts-EpiNow2",0.170607576918825
"cum death","GM12","KIT-time_series_baseline",0.154288349629275
"cum death","GM12","Karlen-pypm",0.156519139249725
"cum death","GM13","USC-SIkJalpha",0.18925158860247
"cum death","GM13","ITWW-county_repro",0.289415845047606
"cum death","GM13","epiforecasts-EpiNow2",0.128904694024918
"cum death","GM13","KIT-time_series_baseline",0.133245725567572
"cum death","GM13","Karlen-pypm",0.259182146757434
"cum death","GM14","USC-SIkJalpha",0.124575640239965
