id,Country,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03
21,"Hawaii",17596,17692,17789,17885,17981,18077,18174,18271,18369,18466,18564,18661,18759,18856,18955,19052,19150,19248,19345,19443,19542,19640,19738,19836,19935,20033,20132,20230,20329,20427,20526,20625,20724,20822,20921,21020,21119,21218,21318,21417,21516,21615,21715,21814,21913,22013,22112,22212,22311,22411,22511,22610,22710,22810,22910,23010,23109,23209,23309,23409,23509,23609,23709,23809,23910,24010,24110,24210,24310,24411,24511,24611,24711,24812,24912,25012,25113,25213,25313,25414,25514,25615,25715,25815,25916,26016,26117,26217,26318,26418,26518,26619,26719,26820,26920,27021,27121,27221,27322,27422,27523
22,"Indiana",300913,307296,313702,320122,326541,332962,339375,345809,352275,358746,365220,371695,378172,384650,391131,397611,404088,410558,417022,423477,429922,436357,442778,449184,455573,461945,468297,474628,480937,487221,493480,499712,505916,512090,518233,524343,530419,536461,542466,548434,554363,560253,566101,571908,577671,583391,589065,594694,600276,605811,611297,616734,622121,627458,632743,637977,643158,648286,653361,658382,663348,668260,673117,677919,682665,687355,691989,696566,701087,705552,709960,714312,718607,722845,727026,731151,735220,739232,743188,747088,750932,754721,758454,762132,765755,769324,772838,776299,779706,783059,786360,789609,792806,795951,799045,802088,805082,808025,810920,813765,816563
23,"Kentucky",160232,163053,165891,168742,171608,174484,177379,180303,183239,186190,189156,192136,195131,198141,201166,204203,207253,210315,213388,216473,219569,222675,225791,228915,232048,235190,238338,241493,244655,247822,250994,254171,257352,260536,263722,266911,270101,273292,276483,279674,282863,286052,289238,292421,295601,298777,301948,305114,308274,311428,314575,317715,320846,323969,327083,330186,333280,336363,339434,342493,345540,348574,351595,354602,357594,360571,363534,366480,369410,372324,375221,378100,380962,383805,386630,389436,392222,394989,397736,400463,403170,405855,408520,411163,413785,416385,418963,421518,424052,426562,429050,431515,433957,436375,438771,441142,443490,445815,448115,450392,452645
24,"Minnesota",276500,283250,290003,296741,303442,310103,316705,323264,329792,336265,342674,349014,355282,361473,367585,373615,379556,385405,391158,396812,402365,407815,413159,418395,423521,428537,433441,438231,442909,447472,451922,456258,460480,464589,468585,472470,476244,479909,483466,486916,490261,493502,496642,499682,502623,505469,508220,510879,513448,515930,518326,520638,522869,525020,527095,529095,531022,532878,534666,536387,538044,539639,541174,542650,544069,545434,546746,548007,549219,550384,551502,552577,553609,554600,555551,556464,557341,558182,558989,559763,560506,561219,561902,562558,563186,563789,564367,564921,565452,565961,566449,566917,567365,567794,568206,568600,568978,569340,569687,570019,570337
25,"Oklahoma",177874,180975,184113,187281,190473,193686,196916,200163,203445,206747,210067,213403,216753,220116,223492,226880,230276,233680,237088,240500,243914,247328,250741,254150,257553,260950,264338,267716,271082,274433,277770,281089,284390,287671,290930,294166,297377,300563,303721,306851,309951,313020,316057,319061,322030,324965,327864,330726,333551,336337,339084,341792,344460,347087,349673,352218,354721,357182,359602,361978,364313,366605,368854,371061,373225,375348,377428,379465,381462,383416,385330,387202,389034,390826,392578,394291,395964,397599,399196,400756,402279,403765,405215,406630,408010,409356,410668,411947,413193,414408,415591,416744,417866,418959,420023,421059,422067,423048,424002,424930,425833
26,"Pennsylvania",320158,326695,333342,340097,346954,353929,361036,368265,375599,383040,390584,398231,405980,413828,421769,429798,437912,446107,454379,462723,471134,479607,488136,496718,505345,514013,522716,531447,540202,548974,557757,566545,575332,584112,592879,601627,610350,619041,627697,636309,644874,653385,661837,670225,678543,686788,694954,703037,711032,718936,726745,734454,742061,749563,756955,764237,771405,778457,785391,792204,798897,805467,811913,818234,824430,830499,836442,842259,847949,853513,858951,864264,869452,874516,879458,884277,888976,893555,898016,902361,906591,910708,914713,918608,922395,926076,929653,933127,936502,939778,942957,946043,949036,951939,954754,957483,960128,962690,965174,967579,969908
27,"South Carolina",207552,209169,210814,212487,214186,215908,217651,219416,221203,223012,224841,226692,228565,230463,232391,234351,236336,238347,240383,242445,244531,246643,248781,250944,253134,255351,257594,259864,262162,264487,266838,269216,271621,274052,276510,278995,281506,284045,286610,289202,291820,294465,297136,299834,302558,305308,308084,310886,313713,316566,319444,322348,325276,328229,331206,334207,337233,340282,343354,346450,349568,352708,355871,359055,362261,365488,368735,372002,375289,378596,381921,385265,388626,392006,395402,398814,402243,405687,409146,412619,416106,419606,423119,426644,430181,433728,437286,440854,444430,448015,451608,455208,458814,462426,466043,469665,473291,476920,480552,484185,487820
28,"District of Columbia",20290,20469,20654,20843,21037,21236,21438,21646,21857,22073,22294,22519,22750,22986,23228,23477,23731,23991,24256,24528,24805,25088,25377,25672,25974,26282,26597,26918,27246,27581,27923,28271,28626,28989,29358,29734,30118,30508,30906,31312,31724,32144,32572,33007,33449,33898,34356,34820,35292,35772,36258,36753,37254,37763,38279,38803,39333,39871,40416,40967,41526,42091,42663,43241,43826,44417,45014,45618,46227,46841,47461,48087,48718,49353,49994,50639,51288,51941,52598,53259,53924,54591,55262,55935,56610,57288,57968,58649,59331,60015,60700,61385,62070,62755,63440,64125,64809,65491,66172,66852,67530
29,"Kansas",144792,148108,151492,154960,158491,162114,165807,169575,173453,177406,181423,185526,189701,193980,198345,202773,207273,211845,216487,221200,225978,230822,235729,240695,245717,250793,255920,261096,266314,271570,276863,282187,287540,292916,298313,303726,309150,314582,320016,325449,330877,336294,341697,347082,352443,357778,363082,368351,373581,378769,383910,389003,394042,399026,403950,408812,413610,418341,423002,427592,432108,436549,440913,445198,449404,453528,457571,461531,465408,469202,472911,476536,480077,483535,486908,490198,493405,496529,499572,502535,505417,508220,510945,513593,516165,518662,521086,523439,525720,527932,530076,532153,534166,536114,538001,539826,541592,543301,544953,546550,548094
30,"Missouri",280645,285206,289747,294265,298748,303197,307604,312042,316456,320836,325182,329490,333762,337996,342195,346349,350455,354512,358518,362473,366373,370218,374004,377731,381398,385002,388544,392022,395435,398782,402064,405279,408427,411508,414522,417469,420348,423161,425906,428585,431199,433746,436229,438648,441003,443295,445525,447694,449803,451852,453843,455777,457654,459477,461245,462960,464623,466235,467798,469312,470779,472199,473574,474905,476193,477440,478645,479811,480939,482029,483082,484101,485084,486035,486953,487839,488696,489522,490320,491090,491834,492551,493243,493910,494554,495176,495775,496352,496909,497446,497964,498463,498944,499408,499855,500285,500700,501100,501485,501856,502213
