target,target_end_date,location,type,quantile,value,location_name,forecast_date
4 wk ahead inc case,2021-01-09,PL,quantile,0.5,76366,Poland,2020-12-14
4 wk ahead inc case,2021-01-09,PL,quantile,0.55,79969.0466524703,Poland,2020-12-14
4 wk ahead inc case,2021-01-09,PL,quantile,0.6,83811.7774846671,Poland,2020-12-14
4 wk ahead inc case,2021-01-09,PL,quantile,0.65,87984.7082468417,Poland,2020-12-14
4 wk ahead inc case,2021-01-09,PL,quantile,0.7,92613.9783155076,Poland,2020-12-14
4 wk ahead inc case,2021-01-09,PL,quantile,0.75,97889.409877401,Poland,2020-12-14
4 wk ahead inc case,2021-01-09,PL,quantile,0.8,104123.539201438,Poland,2020-12-14
4 wk ahead inc case,2021-01-09,PL,quantile,0.85,111896.61084734,Poland,2020-12-14
4 wk ahead inc case,2021-01-09,PL,quantile,0.9,122504.983261476,Poland,2020-12-14
4 wk ahead inc case,2021-01-09,PL,quantile,0.95,140080.657611067,Poland,2020-12-14
4 wk ahead inc case,2021-01-09,PL,quantile,0.975,157302.248105461,Poland,2020-12-14
4 wk ahead inc case,2021-01-09,PL,quantile,0.99,179902.639630297,Poland,2020-12-14
1 wk ahead inc case,2020-12-19,PL,point,,67422,Poland,2020-12-14
2 wk ahead inc case,2020-12-26,PL,point,,61779.2857142857,Poland,2020-12-14
3 wk ahead inc case,2021-01-02,PL,point,,68913,Poland,2020-12-14
4 wk ahead inc case,2021-01-09,PL,point,,76366,Poland,2020-12-14
1 wk ahead cum case,2020-12-19,PL,quantile,0.01,1157713.60564796,Poland,2020-12-14
1 wk ahead cum case,2020-12-19,PL,quantile,0.025,1160905.10011044,Poland,2020-12-14
1 wk ahead cum case,2020-12-19,PL,quantile,0.05,1163845.98172712,Poland,2020-12-14
1 wk ahead cum case,2020-12-19,PL,quantile,0.1,1167477.2347863,Poland,2020-12-14
1 wk ahead cum case,2020-12-19,PL,quantile,0.15,1170081.66728023,Poland,2020-12-14
1 wk ahead cum case,2020-12-19,PL,quantile,0.2,1172244.99559944,Poland,2020-12-14
1 wk ahead cum case,2020-12-19,PL,quantile,0.25,1174169.46083167,Poland,2020-12-14
1 wk ahead cum case,2020-12-19,PL,quantile,0.3,1175953.40155012,Poland,2020-12-14
1 wk ahead cum case,2020-12-19,PL,quantile,0.35,1177654.92760857,Poland,2020-12-14
1 wk ahead cum case,2020-12-19,PL,quantile,0.4,1179313.75621082,Poland,2020-12-14
1 wk ahead cum case,2020-12-19,PL,quantile,0.45,1180960.74695248,Poland,2020-12-14
1 wk ahead cum case,2020-12-19,PL,quantile,0.5,1182623,Poland,2020-12-14
1 wk ahead cum case,2020-12-19,PL,quantile,0.55,1184327.28804419,Poland,2020-12-14
1 wk ahead cum case,2020-12-19,PL,quantile,0.6,1186103.12651633,Poland,2020-12-14
1 wk ahead cum case,2020-12-19,PL,quantile,0.65,1187986.45051802,Poland,2020-12-14
1 wk ahead cum case,2020-12-19,PL,quantile,0.7,1190025.16672382,Poland,2020-12-14
1 wk ahead cum case,2020-12-19,PL,quantile,0.75,1192289.06429184,Poland,2020-12-14
1 wk ahead cum case,2020-12-19,PL,quantile,0.8,1194890.21574118,Poland,2020-12-14
1 wk ahead cum case,2020-12-19,PL,quantile,0.85,1198032.29434723,Poland,2020-12-14
1 wk ahead cum case,2020-12-19,PL,quantile,0.9,1202160.65065147,Poland,2020-12-14
1 wk ahead cum case,2020-12-19,PL,quantile,0.95,1208656.40537389,Poland,2020-12-14
1 wk ahead cum case,2020-12-19,PL,quantile,0.975,1214676.50976132,Poland,2020-12-14
1 wk ahead cum case,2020-12-19,PL,quantile,0.99,1222157.0905463,Poland,2020-12-14
2 wk ahead cum case,2020-12-26,PL,quantile,0.01,1192274.01824173,Poland,2020-12-14
2 wk ahead cum case,2020-12-26,PL,quantile,0.025,1198732.24038472,Poland,2020-12-14
2 wk ahead cum case,2020-12-26,PL,quantile,0.05,1204746.88202207,Poland,2020-12-14
2 wk ahead cum case,2020-12-26,PL,quantile,0.1,1212252.91238262,Poland,2020-12-14
2 wk ahead cum case,2020-12-26,PL,quantile,0.15,1217687.77249604,Poland,2020-12-14
2 wk ahead cum case,2020-12-26,PL,quantile,0.2,1222233.27627528,Poland,2020-12-14
2 wk ahead cum case,2020-12-26,PL,quantile,0.25,1226299.79610644,Poland,2020-12-14
2 wk ahead cum case,2020-12-26,PL,quantile,0.3,1230088.05831229,Poland,2020-12-14
2 wk ahead cum case,2020-12-26,PL,quantile,0.35,1233717.59733285,Poland,2020-12-14
2 wk ahead cum case,2020-12-26,PL,quantile,0.4,1237270.97520521,Poland,2020-12-14
2 wk ahead cum case,2020-12-26,PL,quantile,0.45,1240813.20903296,Poland,2020-12-14
2 wk ahead cum case,2020-12-26,PL,quantile,0.5,1244402.28571429,Poland,2020-12-14
2 wk ahead cum case,2020-12-26,PL,quantile,0.55,1248096.39781859,Poland,2020-12-14
2 wk ahead cum case,2020-12-26,PL,quantile,0.6,1251960.6076346,Poland,2020-12-14
2 wk ahead cum case,2020-12-26,PL,quantile,0.65,1256075.03282765,Poland,2020-12-14
2 wk ahead cum case,2020-12-26,PL,quantile,0.7,1260547.39974852,Poland,2020-12-14
2 wk ahead cum case,2020-12-26,PL,quantile,0.75,1265535.63295321,Poland,2020-12-14
2 wk ahead cum case,2020-12-26,PL,quantile,0.8,1271294.55451297,Poland,2020-12-14
2 wk ahead cum case,2020-12-26,PL,quantile,0.85,1278289.11288407,Poland,2020-12-14
2 wk ahead cum case,2020-12-26,PL,quantile,0.9,1287539.95408289,Poland,2020-12-14
2 wk ahead cum case,2020-12-26,PL,quantile,0.95,1302227.92439679,Poland,2020-12-14
2 wk ahead cum case,2020-12-26,PL,quantile,0.975,1315975.93834864,Poland,2020-12-14
2 wk ahead cum case,2020-12-26,PL,quantile,0.99,1333228.30893074,Poland,2020-12-14
3 wk ahead cum case,2021-01-02,PL,quantile,0.01,1226289.97297521,Poland,2020-12-14
3 wk ahead cum case,2021-01-02,PL,quantile,0.025,1236592.63407345,Poland,2020-12-14
3 wk ahead cum case,2021-01-02,PL,quantile,0.05,1246320.10032973,Poland,2020-12-14
3 wk ahead cum case,2021-01-02,PL,quantile,0.1,1258631.39426845,Poland,2020-12-14
3 wk ahead cum case,2021-01-02,PL,quantile,0.15,1267659.79949428,Poland,2020-12-14
3 wk ahead cum case,2021-01-02,PL,quantile,0.2,1275281.64619567,Poland,2020-12-14
3 wk ahead cum case,2021-01-02,PL,quantile,0.25,1282153.32157987,Poland,2020-12-14
3 wk ahead cum case,2021-01-02,PL,quantile,0.3,1288598.56915264,Poland,2020-12-14
3 wk ahead cum case,2021-01-02,PL,quantile,0.35,1294812.36948202,Poland,2020-12-14
3 wk ahead cum case,2021-01-02,PL,quantile,0.4,1300931.48838544,Poland,2020-12-14
3 wk ahead cum case,2021-01-02,PL,quantile,0.45,1307065.75163475,Poland,2020-12-14
3 wk ahead cum case,2021-01-02,PL,quantile,0.5,1313315.28571429,Poland,2020-12-14
3 wk ahead cum case,2021-01-02,PL,quantile,0.55,1319782.77446006,Poland,2020-12-14
3 wk ahead cum case,2021-01-02,PL,quantile,0.6,1326585.21643747,Poland,2020-12-14
3 wk ahead cum case,2021-01-02,PL,quantile,0.65,1333868.86019105,Poland,2020-12-14
3 wk ahead cum case,2021-01-02,PL,quantile,0.7,1341832.56886538,Poland,2020-12-14
3 wk ahead cum case,2021-01-02,PL,quantile,0.75,1350770.29619642,Poland,2020-12-14
3 wk ahead cum case,2021-01-02,PL,quantile,0.8,1361159.39429119,Poland,2020-12-14
3 wk ahead cum case,2021-01-02,PL,quantile,0.85,1373875.60664576,Poland,2020-12-14
3 wk ahead cum case,2021-01-02,PL,quantile,0.9,1390851.93870381,Poland,2020-12-14
3 wk ahead cum case,2021-01-02,PL,quantile,0.95,1418154.97962894,Poland,2020-12-14
3 wk ahead cum case,2021-01-02,PL,quantile,0.975,1444072.96066491,Poland,2020-12-14
3 wk ahead cum case,2021-01-02,PL,quantile,0.99,1477055.0304215,Poland,2020-12-14
4 wk ahead cum case,2021-01-09,PL,quantile,0.01,1259902.51204829,Poland,2020-12-14
4 wk ahead cum case,2021-01-09,PL,quantile,0.025,1274620.96162419,Poland,2020-12-14
4 wk ahead cum case,2021-01-09,PL,quantile,0.05,1288696.50436314,Poland,2020-12-14
4 wk ahead cum case,2021-01-09,PL,quantile,0.1,1306745.80247676,Poland,2020-12-14
4 wk ahead cum case,2021-01-09,PL,quantile,0.15,1320139.71841387,Poland,2020-12-14
4 wk ahead cum case,2021-01-09,PL,quantile,0.2,1331545.34280783,Poland,2020-12-14
4 wk ahead cum case,2021-01-09,PL,quantile,0.25,1341902.32873045,Poland,2020-12-14
4 wk ahead cum case,2021-01-09,PL,quantile,0.3,1351677.95618641,Poland,2020-12-14
4 wk ahead cum case,2021-01-09,PL,quantile,0.35,1361156.8415575,Poland,2020-12-14
4 wk ahead cum case,2021-01-09,PL,quantile,0.4,1370541.69289153,Poland,2020-12-14
4 wk ahead cum case,2021-01-09,PL,quantile,0.45,1379998.38657389,Poland,2020-12-14
4 wk ahead cum case,2021-01-09,PL,quantile,0.5,1389681.28571429,Poland,2020-12-14
4 wk ahead cum case,2021-01-09,PL,quantile,0.55,1399751.82111253,Poland,2020-12-14
4 wk ahead cum case,2021-01-09,PL,quantile,0.6,1410396.99392214,Poland,2020-12-14
4 wk ahead cum case,2021-01-09,PL,quantile,0.65,1421853.56843789,Poland,2020-12-14
4 wk ahead cum case,2021-01-09,PL,quantile,0.7,1434446.54718089,Poland,2020-12-14
4 wk ahead cum case,2021-01-09,PL,quantile,0.75,1448659.70607382,Poland,2020-12-14
4 wk ahead cum case,2021-01-09,PL,quantile,0.8,1465282.93349263,Poland,2020-12-14
4 wk ahead cum case,2021-01-09,PL,quantile,0.85,1485772.2174931,Poland,2020-12-14
4 wk ahead cum case,2021-01-09,PL,quantile,0.9,1513356.92196529,Poland,2020-12-14
4 wk ahead cum case,2021-01-09,PL,quantile,0.95,1558235.63724001,Poland,2020-12-14
4 wk ahead cum case,2021-01-09,PL,quantile,0.975,1601375.20877037,Poland,2020-12-14
4 wk ahead cum case,2021-01-09,PL,quantile,0.99,1656957.6700518,Poland,2020-12-14
1 wk ahead cum case,2020-12-19,PL,point,,1182623,Poland,2020-12-14
2 wk ahead cum case,2020-12-26,PL,point,,1244402.28571429,Poland,2020-12-14
3 wk ahead cum case,2021-01-02,PL,point,,1313315.28571429,Poland,2020-12-14
4 wk ahead cum case,2021-01-09,PL,point,,1389681.28571429,Poland,2020-12-14
