target,target_end_date,location,type,quantile,value,forecast_date
4 wk ahead inc death,2021-03-06,PL,point,,1862.795,2021-02-08
1 wk ahead cum death,2021-02-13,PL,quantile,0.01,40165.0543675293,2021-02-08
1 wk ahead cum death,2021-02-13,PL,quantile,0.025,40224.8883490224,2021-02-08
1 wk ahead cum death,2021-02-13,PL,quantile,0.05,40279.0908734413,2021-02-08
1 wk ahead cum death,2021-02-13,PL,quantile,0.1,40344.9317325912,2021-02-08
1 wk ahead cum death,2021-02-13,PL,quantile,0.15,40391.4953207849,2021-02-08
1 wk ahead cum death,2021-02-13,PL,quantile,0.2,40429.7934915165,2021-02-08
1 wk ahead cum death,2021-02-13,PL,quantile,0.25,40463.594866361,2021-02-08
1 wk ahead cum death,2021-02-13,PL,quantile,0.3,40494.7165505378,2021-02-08
1 wk ahead cum death,2021-02-13,PL,quantile,0.35,40524.2213882462,2021-02-08
1 wk ahead cum death,2021-02-13,PL,quantile,0.4,40552.8261890809,2021-02-08
1 wk ahead cum death,2021-02-13,PL,quantile,0.45,40581.0785515553,2021-02-08
1 wk ahead cum death,2021-02-13,PL,quantile,0.5,40609.45,2021-02-08
1 wk ahead cum death,2021-02-13,PL,quantile,0.55,40638.3970115103,2021-02-08
1 wk ahead cum death,2021-02-13,PL,quantile,0.6,40668.4136322165,2021-02-08
1 wk ahead cum death,2021-02-13,PL,quantile,0.65,40700.0924058607,2021-02-08
1 wk ahead cum death,2021-02-13,PL,quantile,0.7,40734.2144458368,2021-02-08
1 wk ahead cum death,2021-02-13,PL,quantile,0.75,40771.9085133947,2021-02-08
1 wk ahead cum death,2021-02-13,PL,quantile,0.8,40814.976728028,2021-02-08
1 wk ahead cum death,2021-02-13,PL,quantile,0.85,40866.6793830681,2021-02-08
1 wk ahead cum death,2021-02-13,PL,quantile,0.9,40934.1163538841,2021-02-08
1 wk ahead cum death,2021-02-13,PL,quantile,0.95,41039.2008415298,2021-02-08
1 wk ahead cum death,2021-02-13,PL,quantile,0.975,41135.6006516669,2021-02-08
1 wk ahead cum death,2021-02-13,PL,quantile,0.99,41254.2326003896,2021-02-08
2 wk ahead cum death,2021-02-20,PL,quantile,0.01,41521.3151823331,2021-02-08
2 wk ahead cum death,2021-02-20,PL,quantile,0.025,41652.308517667,2021-02-08
2 wk ahead cum death,2021-02-20,PL,quantile,0.05,41771.3649158899,2021-02-08
2 wk ahead cum death,2021-02-20,PL,quantile,0.1,41916.4579369786,2021-02-08
2 wk ahead cum death,2021-02-20,PL,quantile,0.15,42019.3672818302,2021-02-08
2 wk ahead cum death,2021-02-20,PL,quantile,0.2,42104.1860600206,2021-02-08
2 wk ahead cum death,2021-02-20,PL,quantile,0.25,42179.1738876828,2021-02-08
2 wk ahead cum death,2021-02-20,PL,quantile,0.3,42248.320062685,2021-02-08
2 wk ahead cum death,2021-02-20,PL,quantile,0.35,42313.9629920677,2021-02-08
2 wk ahead cum death,2021-02-20,PL,quantile,0.4,42377.6843403063,2021-02-08
2 wk ahead cum death,2021-02-20,PL,quantile,0.45,42440.6969799093,2021-02-08
2 wk ahead cum death,2021-02-20,PL,quantile,0.5,42504.05,2021-02-08
2 wk ahead cum death,2021-02-20,PL,quantile,0.55,42568.7638536113,2021-02-08
2 wk ahead cum death,2021-02-20,PL,quantile,0.6,42635.9478838936,2021-02-08
2 wk ahead cum death,2021-02-20,PL,quantile,0.65,42706.9375254374,2021-02-08
2 wk ahead cum death,2021-02-20,PL,quantile,0.7,42783.4982036672,2021-02-08
2 wk ahead cum death,2021-02-20,PL,quantile,0.75,42868.1864441437,2021-02-08
2 wk ahead cum death,2021-02-20,PL,quantile,0.8,42965.0903188658,2021-02-08
2 wk ahead cum death,2021-02-20,PL,quantile,0.85,43081.615322949,2021-02-08
2 wk ahead cum death,2021-02-20,PL,quantile,0.9,43233.9083549043,2021-02-08
2 wk ahead cum death,2021-02-20,PL,quantile,0.95,43471.8825423678,2021-02-08
2 wk ahead cum death,2021-02-20,PL,quantile,0.975,43690.8626586724,2021-02-08
2 wk ahead cum death,2021-02-20,PL,quantile,0.99,43961.1790930348,2021-02-08
3 wk ahead cum death,2021-02-27,PL,quantile,0.01,42762.9008784841,2021-02-08
3 wk ahead cum death,2021-02-27,PL,quantile,0.025,42975.3851567262,2021-02-08
3 wk ahead cum death,2021-02-27,PL,quantile,0.05,43169.5156157698,2021-02-08
3 wk ahead cum death,2021-02-27,PL,quantile,0.1,43407.33964489,2021-02-08
3 wk ahead cum death,2021-02-27,PL,quantile,0.15,43576.8106424526,2021-02-08
3 wk ahead cum death,2021-02-27,PL,quantile,0.2,43716.965602812,2021-02-08
3 wk ahead cum death,2021-02-27,PL,quantile,0.25,43841.2237537515,2021-02-08
3 wk ahead cum death,2021-02-27,PL,quantile,0.3,43956.0845222176,2021-02-08
3 wk ahead cum death,2021-02-27,PL,quantile,0.35,44065.3714221873,2021-02-08
3 wk ahead cum death,2021-02-27,PL,quantile,0.4,44171.6833438878,2021-02-08
3 wk ahead cum death,2021-02-27,PL,quantile,0.45,44277.026005577,2021-02-08
3 wk ahead cum death,2021-02-27,PL,quantile,0.5,44383.1475,2021-02-08
3 wk ahead cum death,2021-02-27,PL,quantile,0.55,44491.7618012793,2021-02-08
3 wk ahead cum death,2021-02-27,PL,quantile,0.6,44604.745963523,2021-02-08
3 wk ahead cum death,2021-02-27,PL,quantile,0.65,44724.3734463725,2021-02-08
3 wk ahead cum death,2021-02-27,PL,quantile,0.7,44853.6638735673,2021-02-08
3 wk ahead cum death,2021-02-27,PL,quantile,0.75,44997.005280112,2021-02-08
3 wk ahead cum death,2021-02-27,PL,quantile,0.8,45161.4331303859,2021-02-08
3 wk ahead cum death,2021-02-27,PL,quantile,0.85,45359.7203329566,2021-02-08
3 wk ahead cum death,2021-02-27,PL,quantile,0.9,45619.777342514,2021-02-08
3 wk ahead cum death,2021-02-27,PL,quantile,0.95,46028.1164294434,2021-02-08
3 wk ahead cum death,2021-02-27,PL,quantile,0.975,46405.8937988608,2021-02-08
3 wk ahead cum death,2021-02-27,PL,quantile,0.99,46874.782993751,2021-02-08
4 wk ahead cum death,2021-03-06,PL,quantile,0.01,43889.3048271623,2021-02-08
4 wk ahead cum death,2021-03-06,PL,quantile,0.025,44191.8133524436,2021-02-08
4 wk ahead cum death,2021-03-06,PL,quantile,0.05,44470.0434603363,2021-02-08
4 wk ahead cum death,2021-03-06,PL,quantile,0.1,44813.2122518255,2021-02-08
4 wk ahead cum death,2021-03-06,PL,quantile,0.15,45059.2534347285,2021-02-08
4 wk ahead cum death,2021-03-06,PL,quantile,0.2,45263.6488966456,2021-02-08
4 wk ahead cum death,2021-03-06,PL,quantile,0.25,45445.5383265683,2021-02-08
4 wk ahead cum death,2021-03-06,PL,quantile,0.3,45614.2265547592,2021-02-08
4 wk ahead cum death,2021-03-06,PL,quantile,0.35,45775.2146629496,2021-02-08
4 wk ahead cum death,2021-03-06,PL,quantile,0.4,45932.2673800111,2021-02-08
4 wk ahead cum death,2021-03-06,PL,quantile,0.45,46088.3160963947,2021-02-08
4 wk ahead cum death,2021-03-06,PL,quantile,0.5,46245.9425,2021-02-08
4 wk ahead cum death,2021-03-06,PL,quantile,0.55,46407.7054497108,2021-02-08
4 wk ahead cum death,2021-03-06,PL,quantile,0.6,46576.4351631064,2021-02-08
4 wk ahead cum death,2021-03-06,PL,quantile,0.65,46755.5876093837,2021-02-08
4 wk ahead cum death,2021-03-06,PL,quantile,0.7,46949.7818126776,2021-02-08
4 wk ahead cum death,2021-03-06,PL,quantile,0.75,47165.7614898897,2021-02-08
4 wk ahead cum death,2021-03-06,PL,quantile,0.8,47414.3781975395,2021-02-08
4 wk ahead cum death,2021-03-06,PL,quantile,0.85,47715.393723524,2021-02-08
4 wk ahead cum death,2021-03-06,PL,quantile,0.9,48112.1237114529,2021-02-08
4 wk ahead cum death,2021-03-06,PL,quantile,0.95,48739.363276837,2021-02-08
4 wk ahead cum death,2021-03-06,PL,quantile,0.975,49324.1506921565,2021-02-08
4 wk ahead cum death,2021-03-06,PL,quantile,0.99,50055.7141993564,2021-02-08
1 wk ahead cum death,2021-02-13,PL,point,,40609.45,2021-02-08
2 wk ahead cum death,2021-02-20,PL,point,,42504.05,2021-02-08
3 wk ahead cum death,2021-02-27,PL,point,,44383.1475,2021-02-08
4 wk ahead cum death,2021-03-06,PL,point,,46245.9425,2021-02-08
