target,target_end_date,location,type,target_type,quantile,value,location_name,forecast_date
4 wk ahead inc case,2021-03-06,GM,quantile,cases,0.3,37231.9875950689,Germany,2021-02-08
4 wk ahead inc case,2021-03-06,GM,quantile,cases,0.35,38504.5893399977,Germany,2021-02-08
4 wk ahead inc case,2021-03-06,GM,quantile,cases,0.4,39753.0727481239,Germany,2021-02-08
4 wk ahead inc case,2021-03-06,GM,quantile,cases,0.45,41000.1927253648,Germany,2021-02-08
4 wk ahead inc case,2021-03-06,GM,quantile,cases,0.5,42266.4085714286,Germany,2021-02-08
4 wk ahead inc case,2021-03-06,GM,quantile,cases,0.55,43572.4220741726,Germany,2021-02-08
4 wk ahead inc case,2021-03-06,GM,quantile,cases,0.6,44941.5516007286,Germany,2021-02-08
4 wk ahead inc case,2021-03-06,GM,quantile,cases,0.65,46402.6874291133,Germany,2021-02-08
4 wk ahead inc case,2021-03-06,GM,quantile,cases,0.7,47994.8616513825,Germany,2021-02-08
4 wk ahead inc case,2021-03-06,GM,quantile,cases,0.75,49775.5092184898,Germany,2021-02-08
4 wk ahead inc case,2021-03-06,GM,quantile,cases,0.8,51837.594102399,Germany,2021-02-08
4 wk ahead inc case,2021-03-06,GM,quantile,cases,0.85,54351.2298737359,Germany,2021-02-08
4 wk ahead inc case,2021-03-06,GM,quantile,cases,0.9,57691.0257023871,Germany,2021-02-08
4 wk ahead inc case,2021-03-06,GM,quantile,cases,0.95,63029.4782982998,Germany,2021-02-08
4 wk ahead inc case,2021-03-06,GM,quantile,cases,0.975,68065.7675867003,Germany,2021-02-08
4 wk ahead inc case,2021-03-06,GM,quantile,cases,0.99,74439.3276930322,Germany,2021-02-08
1 wk ahead inc case,2021-02-13,GM,point,cases,,61639.32,Germany,2021-02-08
2 wk ahead inc case,2021-02-20,GM,point,cases,,54589.8657142857,Germany,2021-02-08
3 wk ahead inc case,2021-02-27,GM,point,cases,,47462.5,Germany,2021-02-08
4 wk ahead inc case,2021-03-06,GM,point,cases,,42266.4085714286,Germany,2021-02-08
1 wk ahead cum case,2021-02-13,GM,quantile,,0.01,2324838.73303212,Germany,2021-02-08
1 wk ahead cum case,2021-02-13,GM,quantile,,0.025,2326584.03114374,Germany,2021-02-08
1 wk ahead cum case,2021-02-13,GM,quantile,,0.05,2328134.7443965,Germany,2021-02-08
1 wk ahead cum case,2021-02-13,GM,quantile,,0.1,2329981.55797152,Germany,2021-02-08
1 wk ahead cum case,2021-02-13,GM,quantile,,0.15,2331264.33114713,Germany,2021-02-08
1 wk ahead cum case,2021-02-13,GM,quantile,,0.2,2332305.50113546,Germany,2021-02-08
1 wk ahead cum case,2021-02-13,GM,quantile,,0.25,2333214.32315635,Germany,2021-02-08
1 wk ahead cum case,2021-02-13,GM,quantile,,0.3,2334042.9479044,Germany,2021-02-08
1 wk ahead cum case,2021-02-13,GM,quantile,,0.35,2334821.48506078,Germany,2021-02-08
1 wk ahead cum case,2021-02-13,GM,quantile,,0.4,2335569.88102554,Germany,2021-02-08
1 wk ahead cum case,2021-02-13,GM,quantile,,0.45,2336303.01302792,Germany,2021-02-08
1 wk ahead cum case,2021-02-13,GM,quantile,,0.5,2337033.32,Germany,2021-02-08
1 wk ahead cum case,2021-02-13,GM,quantile,,0.55,2337772.46211613,Germany,2021-02-08
1 wk ahead cum case,2021-02-13,GM,quantile,,0.6,2338532.67253611,Germany,2021-02-08
1 wk ahead cum case,2021-02-13,GM,quantile,,0.65,2339328.23547163,Germany,2021-02-08
1 wk ahead cum case,2021-02-13,GM,quantile,,0.7,2340177.58696782,Germany,2021-02-08
1 wk ahead cum case,2021-02-13,GM,quantile,,0.75,2341106.94682375,Germany,2021-02-08
1 wk ahead cum case,2021-02-13,GM,quantile,,0.8,2342157.67059178,Germany,2021-02-08
1 wk ahead cum case,2021-02-13,GM,quantile,,0.85,2343403.83037186,Germany,2021-02-08
1 wk ahead cum case,2021-02-13,GM,quantile,,0.9,2345005.17729738,Germany,2021-02-08
1 wk ahead cum case,2021-02-13,GM,quantile,,0.95,2347448.85805812,Germany,2021-02-08
1 wk ahead cum case,2021-02-13,GM,quantile,,0.975,2349638.37051436,Germany,2021-02-08
1 wk ahead cum case,2021-02-13,GM,quantile,,0.99,2352268.68697994,Germany,2021-02-08
2 wk ahead cum case,2021-02-20,GM,quantile,,0.01,2364682.39689841,Germany,2021-02-08
2 wk ahead cum case,2021-02-20,GM,quantile,,0.025,2368447.31286116,Germany,2021-02-08
2 wk ahead cum case,2021-02-20,GM,quantile,,0.05,2371818.63419573,Germany,2021-02-08
2 wk ahead cum case,2021-02-20,GM,quantile,,0.1,2375865.28984843,Germany,2021-02-08
2 wk ahead cum case,2021-02-20,GM,quantile,,0.15,2378695.97599033,Germany,2021-02-08
2 wk ahead cum case,2021-02-20,GM,quantile,,0.2,2381005.38274524,Germany,2021-02-08
2 wk ahead cum case,2021-02-20,GM,quantile,,0.25,2383029.83887791,Germany,2021-02-08
2 wk ahead cum case,2021-02-20,GM,quantile,,0.3,2384882.58919809,Germany,2021-02-08
2 wk ahead cum case,2021-02-20,GM,quantile,,0.35,2386629.33478579,Germany,2021-02-08
2 wk ahead cum case,2021-02-20,GM,quantile,,0.4,2388313.88799268,Germany,2021-02-08
2 wk ahead cum case,2021-02-20,GM,quantile,,0.45,2389969.21609808,Germany,2021-02-08
2 wk ahead cum case,2021-02-20,GM,quantile,,0.5,2391623.18571429,Germany,2021-02-08
2 wk ahead cum case,2021-02-20,GM,quantile,,0.55,2393302.2366805,Germany,2021-02-08
