target,target_end_date,location,type,quantile,value,location_name,forecast_date
1 wk ahead cum case,2021-01-02,GM,quantile,0.99,1818250.48675765,Germany,2020-12-28
2 wk ahead cum case,2021-01-09,GM,quantile,0.01,1849210.94037123,Germany,2020-12-28
2 wk ahead cum case,2021-01-09,GM,quantile,0.025,1860498.02032106,Germany,2020-12-28
2 wk ahead cum case,2021-01-09,GM,quantile,0.05,1870660.39074236,Germany,2020-12-28
2 wk ahead cum case,2021-01-09,GM,quantile,0.1,1882924.16429488,Germany,2020-12-28
2 wk ahead cum case,2021-01-09,GM,quantile,0.15,1891543.66795378,Germany,2020-12-28
2 wk ahead cum case,2021-01-09,GM,quantile,0.2,1898599.87336274,Germany,2020-12-28
2 wk ahead cum case,2021-01-09,GM,quantile,0.25,1904802.69985542,Germany,2020-12-28
2 wk ahead cum case,2021-01-09,GM,quantile,0.3,1910493.24204049,Germany,2020-12-28
2 wk ahead cum case,2021-01-09,GM,quantile,0.35,1915870.04637413,Germany,2020-12-28
2 wk ahead cum case,2021-01-09,GM,quantile,0.4,1921066.09822543,Germany,2020-12-28
2 wk ahead cum case,2021-01-09,GM,quantile,0.45,1926182.04690367,Germany,2020-12-28
2 wk ahead cum case,2021-01-09,GM,quantile,0.5,1931303.57142857,Germany,2020-12-28
2 wk ahead cum case,2021-01-09,GM,quantile,0.55,1936512.58885086,Germany,2020-12-28
2 wk ahead cum case,2021-01-09,GM,quantile,0.6,1941896.70527273,Germany,2020-12-28
2 wk ahead cum case,2021-01-09,GM,quantile,0.65,1947559.92292507,Germany,2020-12-28
2 wk ahead cum case,2021-01-09,GM,quantile,0.7,1953638.23648993,Germany,2020-12-28
2 wk ahead cum case,2021-01-09,GM,quantile,0.75,1960326.95680123,Germany,2020-12-28
2 wk ahead cum case,2021-01-09,GM,quantile,0.8,1967936.4057271,Germany,2020-12-28
2 wk ahead cum case,2021-01-09,GM,quantile,0.85,1977025.69064043,Germany,2020-12-28
2 wk ahead cum case,2021-01-09,GM,quantile,0.9,1988807.34426413,Germany,2020-12-28
2 wk ahead cum case,2021-01-09,GM,quantile,0.95,2007003.94711842,Germany,2020-12-28
2 wk ahead cum case,2021-01-09,GM,quantile,0.975,2023528.00576482,Germany,2020-12-28
2 wk ahead cum case,2021-01-09,GM,quantile,0.99,2043649.41215442,Germany,2020-12-28
3 wk ahead cum case,2021-01-16,GM,quantile,0.01,1947240.92737448,Germany,2020-12-28
3 wk ahead cum case,2021-01-16,GM,quantile,0.025,1966121.66815689,Germany,2020-12-28
3 wk ahead cum case,2021-01-16,GM,quantile,0.05,1983260.92524623,Germany,2020-12-28
3 wk ahead cum case,2021-01-16,GM,quantile,0.1,2004115.40288827,Germany,2020-12-28
3 wk ahead cum case,2021-01-16,GM,quantile,0.15,2018881.81658299,Germany,2020-12-28
3 wk ahead cum case,2021-01-16,GM,quantile,0.2,2031035.51556159,Germany,2020-12-28
3 wk ahead cum case,2021-01-16,GM,quantile,0.25,2041767.15063299,Germany,2020-12-28
3 wk ahead cum case,2021-01-16,GM,quantile,0.3,2051651.23920777,Germany,2020-12-28
3 wk ahead cum case,2021-01-16,GM,quantile,0.35,2061024.03019073,Germany,2020-12-28
3 wk ahead cum case,2021-01-16,GM,quantile,0.4,2070112.42558892,Germany,2020-12-28
3 wk ahead cum case,2021-01-16,GM,quantile,0.45,2079089.85347206,Germany,2020-12-28
3 wk ahead cum case,2021-01-16,GM,quantile,0.5,2088105.71428571,Germany,2020-12-28
3 wk ahead cum case,2021-01-16,GM,quantile,0.55,2097304.6877294,Germany,2020-12-28
3 wk ahead cum case,2021-01-16,GM,quantile,0.6,2106843.38919321,Germany,2020-12-28
3 wk ahead cum case,2021-01-16,GM,quantile,0.65,2116909.66498633,Germany,2020-12-28
3 wk ahead cum case,2021-01-16,GM,quantile,0.7,2127751.11903657,Germany,2020-12-28
3 wk ahead cum case,2021-01-16,GM,quantile,0.75,2139725.48786261,Germany,2020-12-28
3 wk ahead cum case,2021-01-16,GM,quantile,0.8,2153403.75720985,Germany,2020-12-28
3 wk ahead cum case,2021-01-16,GM,quantile,0.85,2169818.54448035,Germany,2020-12-28
3 wk ahead cum case,2021-01-16,GM,quantile,0.9,2191217.44669145,Germany,2020-12-28
3 wk ahead cum case,2021-01-16,GM,quantile,0.95,2224532.21447608,Germany,2020-12-28
3 wk ahead cum case,2021-01-16,GM,quantile,0.975,2255056.18090049,Germany,2020-12-28
3 wk ahead cum case,2021-01-16,GM,quantile,0.99,2292564.50974999,Germany,2020-12-28
4 wk ahead cum case,2021-01-23,GM,quantile,0.01,2034567.8449845,Germany,2020-12-28
4 wk ahead cum case,2021-01-23,GM,quantile,0.025,2062170.58393197,Germany,2020-12-28
4 wk ahead cum case,2021-01-23,GM,quantile,0.05,2087461.92798217,Germany,2020-12-28
4 wk ahead cum case,2021-01-23,GM,quantile,0.1,2118525.0748183,Germany,2020-12-28
