target,target_end_date,location,type,quantile,value,location_name,forecast_date
3 wk ahead cum death,2021-01-16,PL,quantile,0.9,34223.7709911728,Poland,2020-12-28
3 wk ahead cum death,2021-01-16,PL,quantile,0.95,34589.3321417663,Poland,2020-12-28
3 wk ahead cum death,2021-01-16,PL,quantile,0.975,34922.6199886383,Poland,2020-12-28
3 wk ahead cum death,2021-01-16,PL,quantile,0.99,35330.1699763226,Poland,2020-12-28
4 wk ahead cum death,2021-01-23,PL,quantile,0.01,32625.7268017319,Poland,2020-12-28
4 wk ahead cum death,2021-01-23,PL,quantile,0.025,32947.4732533955,Poland,2020-12-28
4 wk ahead cum death,2021-01-23,PL,quantile,0.05,33240.753379545,Poland,2020-12-28
4 wk ahead cum death,2021-01-23,PL,quantile,0.1,33599.208436773,Poland,2020-12-28
4 wk ahead cum death,2021-01-23,PL,quantile,0.15,33854.1064817647,Poland,2020-12-28
4 wk ahead cum death,2021-01-23,PL,quantile,0.2,34064.5909480484,Poland,2020-12-28
4 wk ahead cum death,2021-01-23,PL,quantile,0.25,34250.968503551,Poland,2020-12-28
4 wk ahead cum death,2021-01-23,PL,quantile,0.3,34423.0623476079,Poland,2020-12-28
4 wk ahead cum death,2021-01-23,PL,quantile,0.35,34586.6421669566,Poland,2020-12-28
4 wk ahead cum death,2021-01-23,PL,quantile,0.4,34745.6212579654,Poland,2020-12-28
4 wk ahead cum death,2021-01-23,PL,quantile,0.45,34903.0113158912,Poland,2020-12-28
4 wk ahead cum death,2021-01-23,PL,quantile,0.5,35061.4285714286,Poland,2020-12-28
4 wk ahead cum death,2021-01-23,PL,quantile,0.55,35223.4294189912,Poland,2020-12-28
4 wk ahead cum death,2021-01-23,PL,quantile,0.6,35391.8047096287,Poland,2020-12-28
4 wk ahead cum death,2021-01-23,PL,quantile,0.65,35569.9259854591,Poland,2020-12-28
4 wk ahead cum death,2021-01-23,PL,quantile,0.7,35762.2626273444,Poland,2020-12-28
4 wk ahead cum death,2021-01-23,PL,quantile,0.75,35975.3002023102,Poland,2020-12-28
4 wk ahead cum death,2021-01-23,PL,quantile,0.8,36219.4263222792,Poland,2020-12-28
4 wk ahead cum death,2021-01-23,PL,quantile,0.85,36513.4839762088,Poland,2020-12-28
4 wk ahead cum death,2021-01-23,PL,quantile,0.9,36898.6154872415,Poland,2020-12-28
4 wk ahead cum death,2021-01-23,PL,quantile,0.95,37502.2285630096,Poland,2020-12-28
4 wk ahead cum death,2021-01-23,PL,quantile,0.975,38059.5668875737,Poland,2020-12-28
4 wk ahead cum death,2021-01-23,PL,quantile,0.99,38750.0257972336,Poland,2020-12-28
1 wk ahead cum death,2021-01-02,PL,point,,29091.5714285714,Poland,2020-12-28
2 wk ahead cum death,2021-01-09,PL,point,,31094.8571428572,Poland,2020-12-28
3 wk ahead cum death,2021-01-16,PL,point,,33078.5714285714,Poland,2020-12-28
4 wk ahead cum death,2021-01-23,PL,point,,35061.4285714286,Poland,2020-12-28
