gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,bundesland
07233,2,5,5,2,14.0,5.0,07
07235,2,0,0,2,15.0,5.0,07
07311,1,3,1,1,5.0,17.0,07
07312,1,10,4,1,72.0,78.0,07
07313,2,4,1,2,17.0,5.0,07
07314,4,7,4,4,60.0,61.0,07
07315,2,8,5,2,50.0,95.0,07
07316,1,0,0,1,10.0,11.0,07
07317,1,0,0,1,12.0,4.0,07
07318,2,5,4,2,11.0,19.0,07
07319,1,1,0,1,7.0,23.0,07
07320,1,2,2,1,8.0,7.0,07
07331,1,0,0,1,1.0,5.0,07
07332,2,3,3,2,9.0,8.0,07
07333,2,0,0,2,5.0,7.0,07
07334,2,1,1,2,16.0,13.0,07
07335,1,0,0,1,9.0,6.0,07
07336,1,0,0,1,1.0,15.0,07
07337,2,0,0,2,9.0,8.0,07
07339,2,12,11,2,9.0,16.0,07
07340,1,1,0,1,8.0,1.0,07
08111,11,24,17,10,234.0,285.0,08
08115,4,10,10,4,25.0,38.0,08
08116,6,20,19,4,42.0,52.0,08
08117,4,4,3,3,41.0,32.0,08
08118,4,24,23,4,106.0,99.0,08
08119,2,8,6,2,66.0,43.0,08
08121,1,22,16,1,67.0,42.0,08
08125,2,10,7,2,29.0,32.0,08
08126,1,5,5,1,3.0,8.0,08
08127,2,7,7,2,8.0,20.0,08
08128,3,12,8,3,31.0,37.0,08
08135,1,3,3,1,8.0,16.0,08
08136,3,9,6,3,23.0,27.0,08
08211,1,10,9,1,6.0,17.0,08
08212,4,8,5,4,73.0,116.0,08
08215,3,8,2,3,54.0,25.0,08
08216,2,0,0,2,1.0,14.0,08
08221,6,23,13,6,134.0,248.0,08
08222,5,17,13,3,43.0,104.0,08
08225,3,2,1,3,15.0,7.0,08
08226,4,5,4,4,10.0,36.0,08
08231,2,3,2,2,49.0,44.0,08
08235,2,5,5,2,10.0,12.0,08
08236,2,0,0,2,18.0,6.0,08
08237,1,3,3,1,9.0,9.0,08
08311,4,23,21,4,56.0,129.0,08
08315,4,5,1,4,55.0,66.0,08
08316,3,6,4,3,4.0,30.0,08
08317,6,7,4,6,129.0,52.0,08
08325,2,7,4,2,3.0,9.0,08
08326,3,7,7,1,20.0,56.0,08
08327,1,3,2,1,12.0,8.0,08
08335,6,11,4,5,39.0,61.0,08
08336,1,7,6,1,3.0,22.0,08
08337,2,2,2,2,28.0,16.0,08
08415,1,6,5,1,12.0,30.0,08
08416,3,25,21,2,14.0,88.0,08
08417,1,13,10,1,3.0,21.0,08
08421,3,14,7,3,79.0,82.0,08
