,bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
130,06,06531,4,14,13,4,54.0,208.0,2020-04-29 09:15:00
131,06,06532,2,3,3,2,24.0,36.0,2020-04-29 09:15:00
132,06,06533,3,3,2,3,29.0,37.0,2020-04-29 09:15:00
133,06,06534,4,7,6,3,62.0,125.0,2020-04-29 09:15:00
134,06,06535,4,2,1,4,19.0,20.0,2020-04-29 09:15:00
135,06,06611,6,12,8,6,70.0,114.0,2020-04-29 09:15:00
136,06,06631,4,8,8,4,23.0,64.0,2020-04-29 09:15:00
137,06,06632,3,2,1,3,32.0,39.0,2020-04-29 09:15:00
138,06,06633,3,1,1,3,12.0,17.0,2020-04-29 09:15:00
139,06,06634,3,2,0,3,27.0,23.0,2020-04-29 09:15:00
140,06,06635,7,0,0,7,54.0,72.0,2020-04-29 09:15:00
141,06,06636,2,2,2,2,23.0,16.0,2020-04-29 09:15:00
142,07,07111,5,8,6,4,44.0,59.0,2020-04-29 09:15:00
143,07,07131,2,1,0,2,14.0,14.0,2020-04-29 09:15:00
144,07,07132,2,3,3,2,11.0,10.0,2020-04-29 09:15:00
145,07,07133,4,0,0,4,28.0,20.0,2020-04-29 09:15:00
146,07,07134,2,0,0,2,16.0,11.0,2020-04-29 09:15:00
147,07,07135,2,0,0,2,14.0,2.0,2020-04-29 09:15:00
148,07,07137,4,1,0,4,32.0,12.0,2020-04-29 09:15:00
149,07,07138,5,1,1,5,39.0,36.0,2020-04-29 09:15:00
150,07,07140,2,0,0,2,6.0,9.0,2020-04-29 09:15:00
151,07,07141,5,4,2,5,19.0,27.0,2020-04-29 09:15:00
152,07,07143,4,2,0,4,20.0,19.0,2020-04-29 09:15:00
153,07,07211,4,1,1,3,57.0,70.0,2020-04-29 09:15:00
154,07,07231,2,2,2,2,9.0,16.0,2020-04-29 09:15:00
155,07,07232,2,0,0,2,5.0,15.0,2020-04-29 09:15:00
156,07,07233,2,5,5,2,14.0,5.0,2020-04-29 09:15:00
157,07,07235,2,0,0,2,13.0,5.0,2020-04-29 09:15:00
158,07,07311,1,3,1,1,6.0,16.0,2020-04-29 09:15:00
159,07,07312,1,9,4,1,58.0,93.0,2020-04-29 09:15:00
160,07,07313,2,6,1,2,13.0,9.0,2020-04-29 09:15:00
161,07,07314,4,6,4,4,51.0,72.0,2020-04-29 09:15:00
162,07,07315,2,8,3,2,45.0,100.0,2020-04-29 09:15:00
163,07,07316,1,0,0,1,9.0,12.0,2020-04-29 09:15:00
164,07,07317,1,0,0,1,10.0,6.0,2020-04-29 09:15:00
165,07,07318,3,5,5,2,8.0,24.0,2020-04-29 09:15:00
166,07,07319,1,1,0,1,2.0,28.0,2020-04-29 09:15:00
167,07,07320,1,1,1,1,10.0,5.0,2020-04-29 09:15:00
168,07,07331,1,2,0,1,3.0,4.0,2020-04-29 09:15:00
169,07,07332,2,4,3,2,6.0,9.0,2020-04-29 09:15:00
170,07,07333,2,0,0,2,6.0,6.0,2020-04-29 09:15:00
171,07,07334,2,1,1,2,19.0,10.0,2020-04-29 09:15:00
172,07,07335,1,0,0,1,8.0,8.0,2020-04-29 09:15:00
173,07,07336,1,0,0,1,5.0,11.0,2020-04-29 09:15:00
174,07,07337,2,0,0,2,9.0,8.0,2020-04-29 09:15:00
175,07,07339,2,10,10,2,13.0,14.0,2020-04-29 09:15:00
176,07,07340,1,0,0,1,9.0,0.0,2020-04-29 09:15:00
177,08,08111,11,24,16,10,238.0,289.0,2020-04-29 09:15:00
178,08,08115,4,9,9,4,21.0,42.0,2020-04-29 09:15:00
179,08,08116,6,22,17,4,33.0,66.0,2020-04-29 09:15:00
180,08,08117,4,4,4,3,40.0,38.0,2020-04-29 09:15:00
181,08,08118,5,31,22,4,142.0,103.0,2020-04-29 09:15:00
182,08,08119,2,7,3,2,64.0,44.0,2020-04-29 09:15:00
183,08,08121,1,19,12,1,68.0,41.0,2020-04-29 09:15:00
184,08,08125,2,9,4,2,20.0,39.0,2020-04-29 09:15:00
185,08,08126,1,5,4,1,3.0,8.0,2020-04-29 09:15:00
186,08,08127,2,9,5,2,8.0,20.0,2020-04-29 09:15:00
187,08,08128,3,8,8,3,34.0,34.0,2020-04-29 09:15:00
188,08,08135,1,4,4,1,9.0,16.0,2020-04-29 09:15:00
189,08,08136,3,8,6,3,21.0,29.0,2020-04-29 09:15:00
190,08,08211,2,9,7,1,9.0,16.0,2020-04-29 09:15:00
191,08,08212,4,9,6,4,56.0,122.0,2020-04-29 09:15:00
192,08,08215,3,7,3,3,36.0,20.0,2020-04-29 09:15:00
193,08,08216,2,0,0,2,3.0,12.0,2020-04-29 09:15:00
194,08,08221,6,23,13,6,135.0,249.0,2020-04-29 09:15:00
195,08,08222,5,19,11,3,30.0,115.0,2020-04-29 09:15:00
196,08,08225,3,2,2,3,13.0,9.0,2020-04-29 09:15:00
197,08,08226,4,4,3,4,10.0,34.0,2020-04-29 09:15:00
198,08,08231,2,4,3,2,41.0,52.0,2020-04-29 09:15:00
199,08,08235,2,5,4,2,10.0,12.0,2020-04-29 09:15:00
200,08,08236,2,0,0,2,18.0,12.0,2020-04-29 09:15:00
201,08,08237,1,3,3,1,8.0,10.0,2020-04-29 09:15:00
202,08,08311,3,5,4,3,11.0,25.0,2020-04-29 09:15:00
203,08,08315,4,4,1,4,51.0,70.0,2020-04-29 09:15:00
204,08,08316,3,5,4,3,5.0,30.0,2020-04-29 09:15:00
205,08,08317,6,8,7,6,136.0,48.0,2020-04-29 09:15:00
206,08,08325,2,7,4,2,4.0,9.0,2020-04-29 09:15:00
207,08,08326,3,10,9,1,24.0,52.0,2020-04-29 09:15:00
208,08,08327,1,3,3,1,11.0,9.0,2020-04-29 09:15:00
209,08,08335,6,9,5,5,42.0,58.0,2020-04-29 09:15:00
210,08,08336,1,6,5,1,6.0,19.0,2020-04-29 09:15:00
211,08,08337,2,3,3,2,29.0,15.0,2020-04-29 09:15:00
212,08,08415,1,6,6,1,13.0,29.0,2020-04-29 09:15:00
213,08,08416,3,23,21,2,13.0,84.0,2020-04-29 09:15:00
214,08,08417,1,10,8,1,6.0,19.0,2020-04-29 09:15:00
215,08,08421,3,10,3,3,71.0,85.0,2020-04-29 09:15:00
216,08,08425,2,4,2,2,20.0,10.0,2020-04-29 09:15:00
217,08,08426,1,6,5,1,9.0,18.0,2020-04-29 09:15:00
218,08,08435,3,7,1,3,41.0,28.0,2020-04-29 09:15:00
219,08,08436,5,8,7,4,20.0,48.0,2020-04-29 09:15:00
220,08,08437,1,5,4,1,13.0,9.0,2020-04-29 09:15:00
221,09,09161,2,0,0,1,11.0,47.0,2020-04-29 09:15:00
222,09,09162,25,140,102,23,272.0,558.0,2020-04-29 09:15:00
223,09,09163,1,9,5,1,39.0,24.0,2020-04-29 09:15:00
224,09,09171,3,0,0,2,14.0,26.0,2020-04-29 09:15:00
225,09,09172,3,6,6,3,5.0,17.0,2020-04-29 09:15:00
226,09,09173,2,5,3,2,7.0,21.0,2020-04-29 09:15:00
227,09,09174,1,7,7,1,41.0,27.0,2020-04-29 09:15:00
228,09,09175,1,3,3,1,11.0,9.0,2020-04-29 09:15:00
229,09,09176,3,3,2,3,22.0,40.0,2020-04-29 09:15:00
230,09,09177,1,5,5,1,12.0,16.0,2020-04-29 09:15:00
231,09,09178,1,9,4,1,4.0,20.0,2020-04-29 09:15:00
232,09,09179,1,2,1,1,4.0,11.0,2020-04-29 09:15:00
233,09,09180,2,3,1,2,65.0,52.0,2020-04-29 09:15:00
234,09,09182,1,3,3,1,14.0,16.0,2020-04-29 09:15:00
235,09,09183,1,7,7,1,11.0,9.0,2020-04-29 09:15:00
236,09,09184,2,0,0,2,12.0,6.0,2020-04-29 09:15:00
237,09,09185,3,2,2,2,18.0,10.0,2020-04-29 09:15:00
238,09,09186,1,0,0,1,9.0,4.0,2020-04-29 09:15:00
239,09,09187,5,30,22,5,19.0,58.0,2020-04-29 09:15:00
240,09,09188,5,8,6,5,42.0,49.0,2020-04-29 09:15:00
241,09,09189,3,12,9,2,15.0,46.0,2020-04-29 09:15:00
242,09,09190,3,1,1,3,19.0,25.0,2020-04-29 09:15:00
243,09,09261,3,10,3,3,28.0,46.0,2020-04-29 09:15:00
244,09,09262,3,4,1,2,31.0,21.0,2020-04-29 09:15:00
245,09,09263,1,2,1,1,24.0,17.0,2020-04-29 09:15:00
246,09,09271,2,11,5,2,8.0,27.0,2020-04-29 09:15:00
247,09,09272,2,1,0,2,13.0,10.0,2020-04-29 09:15:00
248,09,09273,3,3,1,3,17.0,9.0,2020-04-29 09:15:00
249,09,09274,1,2,2,1,4.0,6.0,2020-04-29 09:15:00
250,09,09275,2,5,5,2,12.0,19.0,2020-04-29 09:15:00
251,09,09276,2,3,1,2,11.0,14.0,2020-04-29 09:15:00
252,09,09277,2,10,10,2,18.0,19.0,2020-04-29 09:15:00
253,09,09278,2,10,4,2,23.0,12.0,2020-04-29 09:15:00
254,09,09279,2,2,2,2,8.0,9.0,2020-04-29 09:15:00
255,09,09361,1,4,3,1,19.0,15.0,2020-04-29 09:15:00
256,09,09362,4,52,39,4,88.0,262.0,2020-04-29 09:15:00
257,09,09363,1,20,11,1,17.0,64.0,2020-04-29 09:15:00
258,09,09371,1,2,2,1,9.0,5.0,2020-04-29 09:15:00
259,09,09372,1,1,1,1,9.0,8.0,2020-04-29 09:15:00
260,09,09373,1,4,4,1,15.0,20.0,2020-04-29 09:15:00
261,09,09375,2,3,3,2,2.0,12.0,2020-04-29 09:15:00
262,09,09376,3,9,9,3,16.0,22.0,2020-04-29 09:15:00
263,09,09461,4,5,4,1,37.0,25.0,2020-04-29 09:15:00
264,09,09462,5,8,8,2,14.0,52.0,2020-04-29 09:15:00
265,09,09463,1,6,1,1,13.0,23.0,2020-04-29 09:15:00
266,09,09464,1,0,0,1,21.0,21.0,2020-04-29 09:15:00
267,09,09471,2,3,2,2,11.0,7.0,2020-04-29 09:15:00
268,09,09472,1,1,1,1,6.0,4.0,2020-04-29 09:15:00
269,09,09474,2,1,1,2,10.0,15.0,2020-04-29 09:15:00
270,09,09475,2,4,4,2,8.0,9.0,2020-04-29 09:15:00
271,09,09476,1,1,1,1,4.0,13.0,2020-04-29 09:15:00
272,09,09477,1,6,5,1,6.0,32.0,2020-04-29 09:15:00
273,09,09478,2,6,2,2,13.0,16.0,2020-04-29 09:15:00
274,09,09479,2,4,4,2,18.0,7.0,2020-04-29 09:15:00
275,09,09561,2,2,2,2,17.0,14.0,2020-04-29 09:15:00
276,09,09562,3,12,10,3,53.0,123.0,2020-04-29 09:15:00
277,09,09563,2,5,5,2,31.0,21.0,2020-04-29 09:15:00
278,09,09564,8,23,13,6,98.0,150.0,2020-04-29 09:15:00
279,09,09571,3,6,4,3,18.0,16.0,2020-04-29 09:15:00
280,09,09572,1,0,0,1,0.0,6.0,2020-04-29 09:15:00
281,09,09574,3,4,3,3,9.0,16.0,2020-04-29 09:15:00
282,09,09575,3,1,1,2,34.0,45.0,2020-04-29 09:15:00
283,09,09576,1,1,0,1,5.0,7.0,2020-04-29 09:15:00
284,09,09577,2,2,2,2,6.0,10.0,2020-04-29 09:15:00
285,09,09661,2,14,11,1,7.0,59.0,2020-04-29 09:15:00
286,09,09662,2,13,12,2,2.0,46.0,2020-04-29 09:15:00
287,09,09663,3,15,12,3,59.0,94.0,2020-04-29 09:15:00
288,09,09671,1,3,0,1,5.0,5.0,2020-04-29 09:15:00
289,09,09672,4,6,3,4,18.0,44.0,2020-04-29 09:15:00
290,09,09673,1,16,9,1,35.0,129.0,2020-04-29 09:15:00
291,09,09674,2,2,2,2,8.0,8.0,2020-04-29 09:15:00
292,09,09675,1,1,1,1,7.0,5.0,2020-04-29 09:15:00
293,09,09676,1,0,0,1,6.0,8.0,2020-04-29 09:15:00
294,09,09677,1,3,0,1,1.0,7.0,2020-04-29 09:15:00
295,09,09678,2,0,0,2,6.0,2.0,2020-04-29 09:15:00
296,09,09679,1,2,2,1,4.0,8.0,2020-04-29 09:15:00
297,09,09761,4,6,4,3,47.0,112.0,2020-04-29 09:15:00
298,09,09762,1,2,2,1,11.0,20.0,2020-04-29 09:15:00
299,09,09763,1,1,1,1,3.0,21.0,2020-04-29 09:15:00
300,09,09764,1,0,0,1,10.0,21.0,2020-04-29 09:15:00
301,09,09771,2,4,4,2,10.0,16.0,2020-04-29 09:15:00
302,09,09772,2,0,0,2,6.0,7.0,2020-04-29 09:15:00
303,09,09773,2,3,3,2,3.0,21.0,2020-04-29 09:15:00
304,09,09774,4,1,1,4,21.0,46.0,2020-04-29 09:15:00
305,09,09775,2,2,1,2,6.0,14.0,2020-04-29 09:15:00
306,09,09776,2,1,1,2,9.0,9.0,2020-04-29 09:15:00
307,09,09777,2,3,3,2,10.0,11.0,2020-04-29 09:15:00
308,09,09778,2,2,2,2,9.0,14.0,2020-04-29 09:15:00
309,09,09779,3,2,2,3,8.0,23.0,2020-04-29 09:15:00
310,09,09780,1,3,2,1,24.0,12.0,2020-04-29 09:15:00
311,10,10041,7,16,10,7,148.0,125.0,2020-04-29 09:15:00
312,10,10042,2,1,1,2,18.0,6.0,2020-04-29 09:15:00
313,10,10043,3,2,1,3,23.0,21.0,2020-04-29 09:15:00
314,10,10044,4,4,3,3,25.0,43.0,2020-04-29 09:15:00
315,10,10045,11,26,14,2,127.0,144.0,2020-04-29 09:15:00
316,10,10046,1,0,0,1,6.0,10.0,2020-04-29 09:15:00
317,11,11000,60,131,105,42,473.0,1052.0,2020-04-29 09:15:00
318,12,12051,3,4,1,3,26.0,59.0,2020-04-29 09:15:00
319,12,12052,2,0,0,2,48.0,53.0,2020-04-29 09:15:00
320,12,12053,1,0,0,1,6.0,9.0,2020-04-29 09:15:00
321,12,12054,4,6,4,4,38.0,36.0,2020-04-29 09:15:00
322,12,12060,2,11,4,2,51.0,61.0,2020-04-29 09:15:00
323,12,12061,5,0,0,5,17.0,54.0,2020-04-29 09:15:00
324,12,12062,3,0,0,3,26.0,19.0,2020-04-29 09:15:00
325,12,12063,2,2,2,2,14.0,12.0,2020-04-29 09:15:00
326,12,12064,3,3,2,3,26.0,19.0,2020-04-29 09:15:00
327,12,12065,5,1,1,5,37.0,22.0,2020-04-29 09:15:00
328,12,12066,1,2,1,1,13.0,27.0,2020-04-29 09:15:00
329,12,12067,4,3,3,4,45.0,69.0,2020-04-29 09:15:00
330,12,12068,3,5,0,3,21.0,20.0,2020-04-29 09:15:00
331,12,12069,3,1,0,3,43.0,58.0,2020-04-29 09:15:00
332,12,12070,2,0,0,2,17.0,8.0,2020-04-29 09:15:00
333,12,12071,3,0,0,3,16.0,14.0,2020-04-29 09:15:00
334,12,12072,2,0,0,2,12.0,10.0,2020-04-29 09:15:00
335,12,12073,4,1,1,4,16.0,25.0,2020-04-29 09:15:00
336,13,13003,2,0,0,2,37.0,82.0,2020-04-29 09:15:00
337,13,13004,1,1,1,1,19.0,45.0,2020-04-29 09:15:00
338,13,13071,5,3,2,5,22.0,56.0,2020-04-29 09:15:00
339,13,13072,5,0,0,4,31.0,33.0,2020-04-29 09:15:00
340,13,13073,4,0,0,4,23.0,46.0,2020-04-29 09:15:00
341,13,13074,2,0,0,2,19.0,9.0,2020-04-29 09:15:00
342,13,13075,7,2,2,7,74.0,159.0,2020-04-29 09:15:00
343,13,13076,6,0,0,6,41.0,113.0,2020-04-29 09:15:00
344,14,14511,3,7,3,3,43.0,135.0,2020-04-29 09:15:00
345,14,14521,6,8,7,6,40.0,50.0,2020-04-29 09:15:00
346,14,14522,5,2,2,5,33.0,36.0,2020-04-29 09:15:00
347,14,14523,3,2,2,3,28.0,44.0,2020-04-29 09:15:00
348,14,14524,5,11,9,5,36.0,84.0,2020-04-29 09:15:00
349,14,14612,10,8,5,6,60.0,181.0,2020-04-29 09:15:00
350,14,14625,6,0,0,5,27.0,37.0,2020-04-29 09:15:00
351,14,14626,5,1,1,5,20.0,39.0,2020-04-29 09:15:00
352,14,14627,5,4,4,5,52.0,42.0,2020-04-29 09:15:00
353,14,14628,5,27,12,5,39.0,71.0,2020-04-29 09:15:00
354,14,14713,8,5,2,7,163.0,264.0,2020-04-29 09:15:00
355,14,14729,3,0,0,3,20.0,36.0,2020-04-29 09:15:00
356,14,14730,8,0,0,8,30.0,48.0,2020-04-29 09:15:00
357,15,15001,2,1,1,2,32.0,28.0,2020-04-29 09:15:00
358,15,15002,6,9,6,5,90.0,223.0,2020-04-29 09:15:00
359,15,15003,7,3,2,5,61.0,201.0,2020-04-29 09:15:00
360,15,15081,2,0,0,2,11.0,11.0,2020-04-29 09:15:00
361,15,15082,3,0,0,3,33.0,33.0,2020-04-29 09:15:00
362,15,15083,2,4,0,2,21.0,18.0,2020-04-29 09:15:00
363,15,15084,3,1,1,3,32.0,27.0,2020-04-29 09:15:00
364,15,15085,4,3,2,4,28.0,29.0,2020-04-29 09:15:00
365,15,15086,2,1,1,2,13.0,20.0,2020-04-29 09:15:00
366,15,15087,3,0,0,3,23.0,14.0,2020-04-29 09:15:00
367,15,15088,2,1,0,2,11.0,16.0,2020-04-29 09:15:00
368,15,15089,4,0,0,4,28.0,47.0,2020-04-29 09:15:00
369,15,15090,2,0,0,2,24.0,24.0,2020-04-29 09:15:00
370,15,15091,2,2,1,2,42.0,21.0,2020-04-29 09:15:00
371,16,16051,2,2,2,2,31.0,65.0,2020-04-29 09:15:00
372,16,16052,1,5,3,1,7.0,39.0,2020-04-29 09:15:00
373,16,16053,2,5,3,1,19.0,98.0,2020-04-29 09:15:00
374,16,16054,1,1,1,1,22.0,12.0,2020-04-29 09:15:00
375,16,16055,1,0,0,1,8.0,8.0,2020-04-29 09:15:00
376,16,16056,1,2,2,1,21.0,23.0,2020-04-29 09:15:00
377,16,16061,3,3,3,3,11.0,19.0,2020-04-29 09:15:00
378,16,16062,3,9,9,3,41.0,43.0,2020-04-29 09:15:00
379,16,16063,3,1,1,3,17.0,70.0,2020-04-29 09:15:00
380,16,16064,3,7,3,3,71.0,33.0,2020-04-29 09:15:00
381,16,16065,1,0,0,1,12.0,3.0,2020-04-29 09:15:00
382,16,16066,2,5,2,2,14.0,34.0,2020-04-29 09:15:00
383,16,16067,2,0,0,2,33.0,17.0,2020-04-29 09:15:00
