bundesland,kreis,anzahl_standorte,betten_frei,betten_belegt,faelle_covid_aktuell_im_bundesland
09,09775,2,8,12,684
09,09776,2,10,10,684
09,09777,2,8,13,684
09,09778,2,4,13,684
09,09779,3,13,22,684
09,09780,1,22,14,684
10,10041,7,156,116,59
10,10042,2,20,7,59
10,10043,3,30,20,59
10,10044,3,29,40,59
10,10045,2,110,128,59
10,10046,1,6,10,59
11,11000,42,439,1065,150
12,12051,3,30,54,52
12,12052,2,38,63,52
12,12053,1,5,10,52
12,12054,4,34,39,52
12,12060,2,34,76,52
12,12061,5,20,52,52
12,12062,3,27,16,52
12,12063,2,13,12,52
12,12064,3,27,18,52
12,12065,5,39,20,52
12,12066,1,17,23,52
12,12067,4,47,67,52
12,12068,3,22,41,52
12,12069,3,41,59,52
12,12070,2,15,10,52
12,12071,3,16,7,52
12,12072,2,10,12,52
12,12073,4,13,28,52
13,13003,2,49,70,5
13,13004,1,20,44,5
13,13071,5,26,52,5
13,13072,4,28,38,5
13,13073,4,25,45,5
13,13074,2,19,9,5
13,13075,6,63,141,5
13,13076,4,36,104,5
14,14511,3,43,133,73
14,14521,5,43,43,73
14,14522,5,25,44,73
14,14523,3,30,42,73
14,14524,5,43,74,73
14,14612,6,77,92,73
14,14625,5,34,30,73
14,14626,5,24,35,73
14,14627,5,43,49,73
14,14628,5,61,48,73
14,14713,7,179,237,73
14,14729,3,19,35,73
14,14730,8,39,40,73
15,15001,2,22,34,28
15,15002,5,106,213,28
15,15003,5,64,204,28
15,15081,2,12,9,28
15,15082,3,45,19,28
15,15083,2,18,18,28
15,15084,3,37,22,28
15,15085,4,28,29,28
15,15086,2,18,13,28
15,15087,3,22,15,28
15,15088,2,11,16,28
15,15089,4,18,46,28
15,15090,2,37,10,28
15,15091,2,34,29,28
16,16051,2,32,63,63
16,16052,1,4,42,63
16,16053,1,33,83,63
16,16054,1,25,9,63
16,16055,1,9,7,63
16,16056,1,19,25,63
16,16061,3,11,19,63
16,16062,3,40,18,63
16,16063,3,13,74,63
16,16064,3,67,37,63
16,16065,1,8,5,63
16,16066,2,27,23,63
16,16067,2,26,24,63
16,16068,1,9,5,63
16,16069,1,6,2,63
16,16070,2,9,7,63
16,16071,3,41,85,63
16,16072,1,3,5,63
16,16073,1,23,8,63
16,16074,1,12,4,63
16,16075,1,4,2,63
16,16076,1,3,14,63
16,16077,1,31,29,63
