"forecast_date","target_end_date","location","location_name","value","type","quantile","target"
2021-02-06,2021-03-23,"GM","Germany",73124.5849876745,"point",NA,"45 day ahead cum death"
2021-02-06,2021-03-24,"GM","Germany",73191.0614014288,"point",NA,"46 day ahead cum death"
2021-02-06,2021-03-25,"GM","Germany",73254.2957222271,"point",NA,"47 day ahead cum death"
2021-02-06,2021-03-26,"GM","Germany",73314.4460688087,"point",NA,"48 day ahead cum death"
2021-02-06,2021-03-27,"GM","Germany",73371.6628483711,"point",NA,"49 day ahead cum death"
2021-02-06,2021-03-28,"GM","Germany",73426.0891326661,"point",NA,"50 day ahead cum death"
2021-02-06,2021-03-29,"GM","Germany",73477.8610157536,"point",NA,"51 day ahead cum death"
2021-02-06,2021-03-30,"GM","Germany",73527.1079543083,"point",NA,"52 day ahead cum death"
2021-02-06,2021-03-31,"GM","Germany",73573.9530913282,"point",NA,"53 day ahead cum death"
2021-02-06,2021-04-01,"GM","Germany",73618.5135640562,"point",NA,"54 day ahead cum death"
2021-02-06,2021-04-02,"GM","Germany",73660.9007968847,"point",NA,"55 day ahead cum death"
2021-02-06,2021-04-03,"GM","Germany",73701.2207799744,"point",NA,"56 day ahead cum death"
2021-02-06,2021-04-04,"GM","Germany",73739.5743342847,"point",NA,"57 day ahead cum death"
2021-02-06,2021-04-05,"GM","Germany",73776.0573636788,"point",NA,"58 day ahead cum death"
2021-02-06,2021-04-06,"GM","Germany",73810.7610947334,"point",NA,"59 day ahead cum death"
2021-02-06,2021-04-07,"GM","Germany",73843.7723048526,"point",NA,"60 day ahead cum death"
2021-02-06,2021-04-08,"GM","Germany",73875.1735392562,"point",NA,"61 day ahead cum death"
2021-02-06,2021-04-09,"GM","Germany",73905.0433173866,"point",NA,"62 day ahead cum death"
2021-02-06,2021-04-10,"GM","Germany",73933.4563292476,"point",NA,"63 day ahead cum death"
2021-02-06,2021-04-11,"GM","Germany",73960.4836221684,"point",NA,"64 day ahead cum death"
2021-02-06,2021-04-12,"GM","Germany",73986.1927784593,"point",NA,"65 day ahead cum death"
2021-02-06,2021-04-13,"GM","Germany",74010.6480844023,"point",NA,"66 day ahead cum death"
2021-02-06,2021-04-14,"GM","Germany",74033.9106910004,"point",NA,"67 day ahead cum death"
