"location_name" "location" "date" "value"
"326" "Mazowieckie" "PL78" "27.06" 41
"327" "Mazowieckie" "PL78" "28.06" 32
"328" "Mazowieckie" "PL78" "29.06" 27
"329" "Mazowieckie" "PL78" "30.06" 21
"330" "Mazowieckie" "PL78" "01.07" 20
"331" "Mazowieckie" "PL78" "02.07" 45
"332" "Mazowieckie" "PL78" "03.07" 36
"333" "Mazowieckie" "PL78" "04.07" 28
"334" "Mazowieckie" "PL78" "05.07" 17
"335" "Mazowieckie" "PL78" "06.07" 39
"336" "Mazowieckie" "PL78" "07.07" 6
"337" "Mazowieckie" "PL78" "08.07" 37
"338" "Mazowieckie" "PL78" "09.07" 50
"339" "Mazowieckie" "PL78" "10.07" 23
"340" "Mazowieckie" "PL78" "11.07" 45
"341" "Mazowieckie" "PL78" "12.07" 8
"342" "Mazowieckie" "PL78" "13.07" 72
"343" "Mazowieckie" "PL78" "14.07" 28
"344" "Mazowieckie" "PL78" "15.07" 22
"345" "Mazowieckie" "PL78" "16.07" 37
"346" "Mazowieckie" "PL78" "17.07" 36
"347" "Mazowieckie" "PL78" "18.07" 31
"348" "Mazowieckie" "PL78" "19.07" 47
"349" "Mazowieckie" "PL78" "20.07" 54
"350" "Mazowieckie" "PL78" "21.07" 59
"351" "Mazowieckie" "PL78" "22.07" 46
"352" "Mazowieckie" "PL78" "23.07" 104
"353" "Mazowieckie" "PL78" "24.07" 32
"354" "Mazowieckie" "PL78" "25.07" 62
"355" "Mazowieckie" "PL78" "26.07" 54
"356" "Mazowieckie" "PL78" "27.07" 58
"357" "Mazowieckie" "PL78" "28.07" 62
"358" "Mazowieckie" "PL78" "29.07" 43
"359" "Mazowieckie" "PL78" "30.07" 95
"360" "Mazowieckie" "PL78" "31.07" 104
"361" "Mazowieckie" "PL78" "01.08" 60
"362" "Mazowieckie" "PL78" "02.08" 71
"363" "Mazowieckie" "PL78" "03.08" 82
"364" "Mazowieckie" "PL78" "04.08" 49
"365" "Mazowieckie" "PL78" "05.08" 86
"366" "Mazowieckie" "PL78" "06.08" 107
"367" "Mazowieckie" "PL78" "07.08" 104
"368" "Mazowieckie" "PL78" "08.08" 131
"369" "Mazowieckie" "PL78" "09.08" 81
"370" "Mazowieckie" "PL78" "10.08" 53
"371" "Mazowieckie" "PL78" "11.08" 50
"372" "Mazowieckie" "PL78" "12.08" 76
"373" "Mazowieckie" "PL78" "13.08" 148
"374" "Mazowieckie" "PL78" "14.08" 143
"375" "Mazowieckie" "PL78" "15.08" 96
"376" "Mazowieckie" "PL78" "16.08" 73
"377" "Mazowieckie" "PL78" "17.08" 150
"378" "Mazowieckie" "PL78" "18.08" 62
"379" "Mazowieckie" "PL78" "19.08" 126
"380" "Mazowieckie" "PL78" "20.08" 96
"381" "Mazowieckie" "PL78" "21.08" 146
"382" "Mazowieckie" "PL78" "22.08" 150
"383" "Mazowieckie" "PL78" "23.08" 49
"384" "Mazowieckie" "PL78" "24.08" 54
"385" "Mazowieckie" "PL78" "25.08" 99
"386" "Mazowieckie" "PL78" "26.08" 106
"387" "Mazowieckie" "PL78" "27.08" 107
"388" "Mazowieckie" "PL78" "28.08" 130
"389" "Mazowieckie" "PL78" "29.08" 140
"390" "Mazowieckie" "PL78" "30.08" 47
"391" "Mazowieckie" "PL78" "31.08" 75
"392" "Mazowieckie" "PL78" "01.09" 89
"393" "Mazowieckie" "PL78" "02.09" 133
"394" "Mazowieckie" "PL78" "03.09" 93
"395" "Mazowieckie" "PL78" "04.09" 121
"396" "Mazowieckie" "PL78" "05.09" 68
"397" "Mazowieckie" "PL78" "06.09" 59
"398" "Mazowieckie" "PL78" "07.09" 25
"399" "Mazowieckie" "PL78" "08.09" 52
"400" "Mazowieckie" "PL78" "09.09" 61
"401" "Mazowieckie" "PL78" "10.09" 68
"402" "Mazowieckie" "PL78" "11.09" 78
"403" "Mazowieckie" "PL78" "12.09" 64
"404" "Mazowieckie" "PL78" "13.09" 85
"405" "Mazowieckie" "PL78" "14.09" 61
"406" "Mazowieckie" "PL78" "15.09" 98
"407" "Mazowieckie" "PL78" "16.09" 70
"408" "Mazowieckie" "PL78" "17.09" 168
"409" "Mazowieckie" "PL78" "18.09" 88
"410" "Mazowieckie" "PL78" "19.09" 88
"411" "Mazowieckie" "PL78" "20.09" 164
"412" "Mazowieckie" "PL78" "21.09" 120
"413" "Mazowieckie" "PL78" "22.09" 108
"414" "Mazowieckie" "PL78" "23.09" 164
"415" "Mazowieckie" "PL78" "24.09" 149
"416" "Mazowieckie" "PL78" "25.09" 295
"417" "Mazowieckie" "PL78" "26.09" 146
"418" "Mazowieckie" "PL78" "27.09" 193
"419" "Mazowieckie" "PL78" "28.09" 152
"420" "Mazowieckie" "PL78" "29.09" 151
"421" "Malopolskie" "PL77" "04.03" 0
"422" "Malopolskie" "PL77" "05.03" 0
"423" "Malopolskie" "PL77" "06.03" 0
"424" "Malopolskie" "PL77" "07.03" 0
"425" "Malopolskie" "PL77" "08.03" 0
"426" "Malopolskie" "PL77" "09.03" 1
"427" "Malopolskie" "PL77" "10.03" 0
