"forecast_date","target","targed_end_date","location","type","quantile","value"
2020-09-21,"6 day ahead inc death",2020-09-27,"PL","quantile",0.3,13.8882967056367
2020-09-21,"6 day ahead inc death",2020-09-27,"PL","quantile",0.35,14.2326628216092
2020-09-21,"6 day ahead inc death",2020-09-27,"PL","quantile",0.4,17.7157208723649
2020-09-21,"6 day ahead inc death",2020-09-27,"PL","quantile",0.45,21.5306102771428
2020-09-21,"6 day ahead inc death",2020-09-27,"PL","quantile",0.5,26.0811791006941
2020-09-21,"6 day ahead inc death",2020-09-27,"PL","quantile",0.55,31.5315424097552
2020-09-21,"6 day ahead inc death",2020-09-27,"PL","quantile",0.6,37.9823148651676
2020-09-21,"6 day ahead inc death",2020-09-27,"PL","quantile",0.65,45.7264196968119
2020-09-21,"6 day ahead inc death",2020-09-27,"PL","quantile",0.7,54.9405724986804
2020-09-21,"6 day ahead inc death",2020-09-27,"PL","quantile",0.75,65.8523614608169
2020-09-21,"6 day ahead inc death",2020-09-27,"PL","quantile",0.8,78.7063613913294
2020-09-21,"6 day ahead inc death",2020-09-27,"PL","quantile",0.85,93.7454560855703
2020-09-21,"6 day ahead inc death",2020-09-27,"PL","quantile",0.9,111.203132301122
2020-09-21,"6 day ahead inc death",2020-09-27,"PL","quantile",0.95,131.275302114877
2020-09-21,"6 day ahead inc death",2020-09-27,"PL","quantile",0.975,142.334706491856
2020-09-21,"6 day ahead inc death",2020-09-27,"PL","quantile",0.99,149.30311221858
2020-09-21,"7 day ahead inc death",2020-09-28,"PL","point",NA,26.0785602794213
2020-09-21,"7 day ahead inc death",2020-09-28,"PL","quantile",0.01,0
2020-09-21,"7 day ahead inc death",2020-09-28,"PL","quantile",0.025,0.0155488244097882
2020-09-21,"7 day ahead inc death",2020-09-28,"PL","quantile",0.05,0.436714114553212
2020-09-21,"7 day ahead inc death",2020-09-28,"PL","quantile",0.1,10.986883840875
2020-09-21,"7 day ahead inc death",2020-09-28,"PL","quantile",0.15,13.0250189977945
2020-09-21,"7 day ahead inc death",2020-09-28,"PL","quantile",0.2,13.226855593373
2020-09-21,"7 day ahead inc death",2020-09-28,"PL","quantile",0.25,13.4618489990711
2020-09-21,"7 day ahead inc death",2020-09-28,"PL","quantile",0.3,13.888323718391
2020-09-21,"7 day ahead inc death",2020-09-28,"PL","quantile",0.35,14.232717859902
2020-09-21,"7 day ahead inc death",2020-09-28,"PL","quantile",0.4,17.715801533911
2020-09-21,"7 day ahead inc death",2020-09-28,"PL","quantile",0.45,21.5307123544493
2020-09-21,"7 day ahead inc death",2020-09-28,"PL","quantile",0.5,26.0785602794213
2020-09-21,"7 day ahead inc death",2020-09-28,"PL","quantile",0.55,31.5358880587438
2020-09-21,"7 day ahead inc death",2020-09-28,"PL","quantile",0.6,37.9911751165323
2020-09-21,"7 day ahead inc death",2020-09-28,"PL","quantile",0.65,45.7368018802835
2020-09-21,"7 day ahead inc death",2020-09-28,"PL","quantile",0.7,54.9535521795594
2020-09-21,"7 day ahead inc death",2020-09-28,"PL","quantile",0.75,65.8681114806397
2020-09-21,"7 day ahead inc death",2020-09-28,"PL","quantile",0.8,78.7244132215622
2020-09-21,"7 day ahead inc death",2020-09-28,"PL","quantile",0.85,93.7666231615645
2020-09-21,"7 day ahead inc death",2020-09-28,"PL","quantile",0.9,111.228348315943
2020-09-21,"7 day ahead inc death",2020-09-28,"PL","quantile",0.95,131.30423814678
2020-09-21,"7 day ahead inc death",2020-09-28,"PL","quantile",0.975,142.365611051118
2020-09-21,"7 day ahead inc death",2020-09-28,"PL","quantile",0.99,149.335153485327
2020-09-21,"8 day ahead inc death",2020-09-29,"PL","point",NA,26.0785602794213
2020-09-21,"8 day ahead inc death",2020-09-29,"PL","quantile",0.01,0
2020-09-21,"8 day ahead inc death",2020-09-29,"PL","quantile",0.025,0.0155488244097882
2020-09-21,"8 day ahead inc death",2020-09-29,"PL","quantile",0.05,0.436714114553212
2020-09-21,"8 day ahead inc death",2020-09-29,"PL","quantile",0.1,10.986883840875
2020-09-21,"8 day ahead inc death",2020-09-29,"PL","quantile",0.15,13.0250189977945
2020-09-21,"8 day ahead inc death",2020-09-29,"PL","quantile",0.2,13.226855593373
2020-09-21,"8 day ahead inc death",2020-09-29,"PL","quantile",0.25,13.4618489990711
2020-09-21,"8 day ahead inc death",2020-09-29,"PL","quantile",0.3,13.888323718391
2020-09-21,"8 day ahead inc death",2020-09-29,"PL","quantile",0.35,14.232717859902
2020-09-21,"8 day ahead inc death",2020-09-29,"PL","quantile",0.4,17.715801533911
2020-09-21,"8 day ahead inc death",2020-09-29,"PL","quantile",0.45,21.5307123544493
2020-09-21,"8 day ahead inc death",2020-09-29,"PL","quantile",0.5,26.0785602794213
2020-09-21,"8 day ahead inc death",2020-09-29,"PL","quantile",0.55,31.5358880587438
2020-09-21,"8 day ahead inc death",2020-09-29,"PL","quantile",0.6,37.9911751165323
2020-09-21,"8 day ahead inc death",2020-09-29,"PL","quantile",0.65,45.7368018802835
2020-09-21,"8 day ahead inc death",2020-09-29,"PL","quantile",0.7,54.9535521795594
2020-09-21,"8 day ahead inc death",2020-09-29,"PL","quantile",0.75,65.8681114806397
2020-09-21,"8 day ahead inc death",2020-09-29,"PL","quantile",0.8,78.7244132215622
2020-09-21,"8 day ahead inc death",2020-09-29,"PL","quantile",0.85,93.7666231615645
2020-09-21,"8 day ahead inc death",2020-09-29,"PL","quantile",0.9,111.228348315943
2020-09-21,"8 day ahead inc death",2020-09-29,"PL","quantile",0.95,131.30423814678
2020-09-21,"8 day ahead inc death",2020-09-29,"PL","quantile",0.975,142.365611051118
2020-09-21,"8 day ahead inc death",2020-09-29,"PL","quantile",0.99,149.335153485327
2020-09-21,"9 day ahead inc death",2020-09-30,"PL","point",NA,26.0785602794213
2020-09-21,"9 day ahead inc death",2020-09-30,"PL","quantile",0.01,0
2020-09-21,"9 day ahead inc death",2020-09-30,"PL","quantile",0.025,0.0155488244097882
2020-09-21,"9 day ahead inc death",2020-09-30,"PL","quantile",0.05,0.436714114553212
2020-09-21,"9 day ahead inc death",2020-09-30,"PL","quantile",0.1,10.986883840875
2020-09-21,"9 day ahead inc death",2020-09-30,"PL","quantile",0.15,13.0250189977945
2020-09-21,"9 day ahead inc death",2020-09-30,"PL","quantile",0.2,13.226855593373
2020-09-21,"9 day ahead inc death",2020-09-30,"PL","quantile",0.25,13.4618489990711
2020-09-21,"9 day ahead inc death",2020-09-30,"PL","quantile",0.3,13.888323718391
2020-09-21,"9 day ahead inc death",2020-09-30,"PL","quantile",0.35,14.232717859902
2020-09-21,"9 day ahead inc death",2020-09-30,"PL","quantile",0.4,17.715801533911
2020-09-21,"9 day ahead inc death",2020-09-30,"PL","quantile",0.45,21.5307123544493
2020-09-21,"9 day ahead inc death",2020-09-30,"PL","quantile",0.5,26.0785602794213
2020-09-21,"9 day ahead inc death",2020-09-30,"PL","quantile",0.55,31.5358880587438
2020-09-21,"9 day ahead inc death",2020-09-30,"PL","quantile",0.6,37.9911751165323
2020-09-21,"9 day ahead inc death",2020-09-30,"PL","quantile",0.65,45.7368018802835
2020-09-21,"9 day ahead inc death",2020-09-30,"PL","quantile",0.7,54.9535521795594
2020-09-21,"9 day ahead inc death",2020-09-30,"PL","quantile",0.75,65.8681114806397
2020-09-21,"9 day ahead inc death",2020-09-30,"PL","quantile",0.8,78.7244132215622
2020-09-21,"9 day ahead inc death",2020-09-30,"PL","quantile",0.85,93.7666231615645
2020-09-21,"9 day ahead inc death",2020-09-30,"PL","quantile",0.9,111.228348315943
2020-09-21,"9 day ahead inc death",2020-09-30,"PL","quantile",0.95,131.30423814678
2020-09-21,"9 day ahead inc death",2020-09-30,"PL","quantile",0.975,142.365611051118
2020-09-21,"9 day ahead inc death",2020-09-30,"PL","quantile",0.99,149.335153485327
2020-09-21,"10 day ahead inc death",2020-10-01,"PL","point",NA,26.0812505836526
2020-09-21,"10 day ahead inc death",2020-10-01,"PL","quantile",0.01,0
2020-09-21,"10 day ahead inc death",2020-10-01,"PL","quantile",0.025,0.0155488245545156
2020-09-21,"10 day ahead inc death",2020-10-01,"PL","quantile",0.05,0.436714130252478
2020-09-21,"10 day ahead inc death",2020-10-01,"PL","quantile",0.1,10.9868813858568
2020-09-21,"10 day ahead inc death",2020-10-01,"PL","quantile",0.15,13.0249948240406
2020-09-21,"10 day ahead inc death",2020-10-01,"PL","quantile",0.2,13.2268345744061
2020-09-21,"10 day ahead inc death",2020-10-01,"PL","quantile",0.25,13.4618277556056
2020-09-21,"10 day ahead inc death",2020-10-01,"PL","quantile",0.3,13.8883019402452
2020-09-21,"10 day ahead inc death",2020-10-01,"PL","quantile",0.35,14.2326812980412
2020-09-21,"10 day ahead inc death",2020-10-01,"PL","quantile",0.4,17.7157536461957
2020-09-21,"10 day ahead inc death",2020-10-01,"PL","quantile",0.45,21.530656427025
2020-09-21,"10 day ahead inc death",2020-10-01,"PL","quantile",0.5,26.0812505836526
2020-09-21,"10 day ahead inc death",2020-10-01,"PL","quantile",0.55,31.5322136190315
2020-09-21,"10 day ahead inc death",2020-10-01,"PL","quantile",0.6,37.9832715219426
2020-09-21,"10 day ahead inc death",2020-10-01,"PL","quantile",0.65,45.7275848747359
2020-09-21,"10 day ahead inc death",2020-10-01,"PL","quantile",0.7,54.9419835333149
2020-09-21,"10 day ahead inc death",2020-10-01,"PL","quantile",0.75,65.8540570807751
2020-09-21,"10 day ahead inc death",2020-10-01,"PL","quantile",0.8,78.7083423804507
2020-09-21,"10 day ahead inc death",2020-10-01,"PL","quantile",0.85,93.7478481876747
2020-09-21,"10 day ahead inc death",2020-10-01,"PL","quantile",0.9,111.205984559499
2020-09-21,"10 day ahead inc death",2020-10-01,"PL","quantile",0.95,131.278631459854
2020-09-21,"10 day ahead inc death",2020-10-01,"PL","quantile",0.975,142.338290605134
2020-09-21,"10 day ahead inc death",2020-10-01,"PL","quantile",0.99,149.30685672268
2020-09-21,"11 day ahead inc death",2020-10-02,"PL","point",NA,26.0812505836526
2020-09-21,"11 day ahead inc death",2020-10-02,"PL","quantile",0.01,0
2020-09-21,"11 day ahead inc death",2020-10-02,"PL","quantile",0.025,0.0155488245545156
2020-09-21,"11 day ahead inc death",2020-10-02,"PL","quantile",0.05,0.436714130252478
2020-09-21,"11 day ahead inc death",2020-10-02,"PL","quantile",0.1,10.9868813858568
2020-09-21,"11 day ahead inc death",2020-10-02,"PL","quantile",0.15,13.0249948240406
2020-09-21,"11 day ahead inc death",2020-10-02,"PL","quantile",0.2,13.2268345744061
2020-09-21,"11 day ahead inc death",2020-10-02,"PL","quantile",0.25,13.4618277556056
2020-09-21,"11 day ahead inc death",2020-10-02,"PL","quantile",0.3,13.8883019402452
2020-09-21,"11 day ahead inc death",2020-10-02,"PL","quantile",0.35,14.2326812980412
2020-09-21,"11 day ahead inc death",2020-10-02,"PL","quantile",0.4,17.7157536461957
2020-09-21,"11 day ahead inc death",2020-10-02,"PL","quantile",0.45,21.530656427025
2020-09-21,"11 day ahead inc death",2020-10-02,"PL","quantile",0.5,26.0812505836526
2020-09-21,"11 day ahead inc death",2020-10-02,"PL","quantile",0.55,31.5322136190315
2020-09-21,"11 day ahead inc death",2020-10-02,"PL","quantile",0.6,37.9832715219426
2020-09-21,"11 day ahead inc death",2020-10-02,"PL","quantile",0.65,45.7275848747359
2020-09-21,"11 day ahead inc death",2020-10-02,"PL","quantile",0.7,54.9419835333149
2020-09-21,"11 day ahead inc death",2020-10-02,"PL","quantile",0.75,65.8540570807751
2020-09-21,"11 day ahead inc death",2020-10-02,"PL","quantile",0.8,78.7083423804507
2020-09-21,"11 day ahead inc death",2020-10-02,"PL","quantile",0.85,93.7478481876747
2020-09-21,"11 day ahead inc death",2020-10-02,"PL","quantile",0.9,111.205984559499
2020-09-21,"11 day ahead inc death",2020-10-02,"PL","quantile",0.95,131.278631459854
2020-09-21,"11 day ahead inc death",2020-10-02,"PL","quantile",0.975,142.338290605134
2020-09-21,"11 day ahead inc death",2020-10-02,"PL","quantile",0.99,149.30685672268
2020-09-21,"12 day ahead inc death",2020-10-03,"PL","point",NA,26.0811579647099
2020-09-21,"12 day ahead inc death",2020-10-03,"PL","quantile",0.01,0
2020-09-21,"12 day ahead inc death",2020-10-03,"PL","quantile",0.025,0.0155488245545156
2020-09-21,"12 day ahead inc death",2020-10-03,"PL","quantile",0.05,0.436714130252478
2020-09-21,"12 day ahead inc death",2020-10-03,"PL","quantile",0.1,10.9868813858568
2020-09-21,"12 day ahead inc death",2020-10-03,"PL","quantile",0.15,13.0249943373735
2020-09-21,"12 day ahead inc death",2020-10-03,"PL","quantile",0.2,13.2268345744061
2020-09-21,"12 day ahead inc death",2020-10-03,"PL","quantile",0.25,13.4618277556056
2020-09-21,"12 day ahead inc death",2020-10-03,"PL","quantile",0.3,13.8883019402452
2020-09-21,"12 day ahead inc death",2020-10-03,"PL","quantile",0.35,14.2326754092192
2020-09-21,"12 day ahead inc death",2020-10-03,"PL","quantile",0.4,17.7157272803768
2020-09-21,"12 day ahead inc death",2020-10-03,"PL","quantile",0.45,21.530605094045
2020-09-21,"12 day ahead inc death",2020-10-03,"PL","quantile",0.5,26.0811579647099
2020-09-21,"12 day ahead inc death",2020-10-03,"PL","quantile",0.55,31.5314987777835
2020-09-21,"12 day ahead inc death",2020-10-03,"PL","quantile",0.6,37.9822404858807
2020-09-21,"12 day ahead inc death",2020-10-03,"PL","quantile",0.65,45.7263041394411
2020-09-21,"12 day ahead inc death",2020-10-03,"PL","quantile",0.7,54.9404027586743
2020-09-21,"12 day ahead inc death",2020-10-03,"PL","quantile",0.75,65.8521215818334
2020-09-21,"12 day ahead inc death",2020-10-03,"PL","quantile",0.8,78.7060320537238
2020-09-21,"12 day ahead inc death",2020-10-03,"PL","quantile",0.85,93.7450148003993
2020-09-21,"12 day ahead inc death",2020-10-03,"PL","quantile",0.9,111.202553120247
2020-09-21,"12 day ahead inc death",2020-10-03,"PL","quantile",0.95,131.274556336595
2020-09-21,"12 day ahead inc death",2020-10-03,"PL","quantile",0.975,142.333866114418
2020-09-21,"12 day ahead inc death",2020-10-03,"PL","quantile",0.99,149.302211438458
2020-09-21,"13 day ahead inc death",2020-10-04,"PL","point",NA,26.0811579647099
2020-09-21,"13 day ahead inc death",2020-10-04,"PL","quantile",0.01,0
2020-09-21,"13 day ahead inc death",2020-10-04,"PL","quantile",0.025,0.0155488245545156
2020-09-21,"13 day ahead inc death",2020-10-04,"PL","quantile",0.05,0.436714130252478
2020-09-21,"13 day ahead inc death",2020-10-04,"PL","quantile",0.1,10.9868813858568
2020-09-21,"13 day ahead inc death",2020-10-04,"PL","quantile",0.15,13.0249943373735
2020-09-21,"13 day ahead inc death",2020-10-04,"PL","quantile",0.2,13.2268345744061
2020-09-21,"13 day ahead inc death",2020-10-04,"PL","quantile",0.25,13.4618277556056
2020-09-21,"13 day ahead inc death",2020-10-04,"PL","quantile",0.3,13.8883019402452
2020-09-21,"13 day ahead inc death",2020-10-04,"PL","quantile",0.35,14.2326754092192
2020-09-21,"13 day ahead inc death",2020-10-04,"PL","quantile",0.4,17.7157272803768
